"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Robel Garcia","HOU","47","117","1","8","8","0","6.8%","35.9%",".057",".234",".151",".216",".208",".194",".224","20","-0.4","-11.8","2.2","-0.6","13167"
"Stevie Wilkerson","BAL","31","76","0","5","2","2","3.9%","39.5%",".042",".286",".167",".211",".208",".190",".186","13","0.6","-7.6","-0.7","-0.6","16041"
"Kelvin Gutierrez","- - -","85","295","3","23","20","0","6.4%","25.8%",".085",".311",".232",".292",".316",".270",".263","67","-2.2","-14.1","-1.7","-0.6","17468"
"Matt Joyce","PHI","43","69","2","6","7","0","17.4%","23.2%",".127",".079",".091",".261",".218",".219",".276","32","-1.0","-7.0","-1.0","-0.6","3353"
"Luis Campusano","SDP","11","38","0","0","1","0","10.5%","28.9%",".000",".130",".088",".184",".088",".142",".247","-13","-1.7","-7.2","0.1","-0.6","22217"
"Stephen Piscotty","OAK","72","188","5","14","16","1","6.9%","25.5%",".133",".275",".220",".282",".353",".279",".289","78","-1.0","-6.0","-6.3","-0.6","13367"
"Ka'ai Tom","- - -","48","133","2","10","12","1","12.8%","27.1%",".093",".178",".139",".278",".231",".239",".287","47","-0.5","-9.3","-1.1","-0.6","18136"
"David Bote","CHC","97","327","8","32","35","0","8.3%","22.3%",".131",".235",".199",".276",".330",".268",".312","64","-3.1","-18.1","1.2","-0.6","14593"
"Jahmai Jones","BAL","26","72","0","5","3","1","5.6%","36.1%",".045",".244",".149",".208",".194",".186",".195","10","0.0","-8.0","-0.5","-0.6","18872"
"Sheldon Neuse","LAD","33","66","3","6","4","1","1.5%","39.4%",".154",".222",".169",".182",".323",".214",".249","33","-1.3","-7.0","-1.2","-0.6","19635"
"Albert Almora Jr.","NYM","47","54","0","3","0","0","3.7%","31.5%",".058",".171",".115",".148",".173",".143",".161","-9","0.0","-7.5","-0.5","-0.6","14109"
"Sandy Leon","MIA","84","220","4","15","14","0","5.5%","29.5%",".084",".244",".183",".237",".267",".225",".216","42","-1.6","-18.0","4.4","-0.6","5273"
"Chance Sisco","- - -","28","83","0","5","4","0","8.4%","25.3%",".041",".208",".149",".241",".189",".205",".221","24","-0.5","-8.2","-1.0","-0.6","15694"
"Gilberto Celestino","MIN","23","62","2","7","3","0","4.8%","22.6%",".153",".140",".136",".177",".288",".201",".241","22","-0.3","-6.3","-2.4","-0.7","20233"
"Zack Short","DET","61","184","6","21","20","2","12.0%","32.1%",".141",".165",".141",".239",".282",".230",".243","41","0.1","-13.1","0.3","-0.7","19562"
"Victor Caratini","SDP","116","356","7","33","39","2","9.8%","23.0%",".096",".281",".227",".309",".323",".273",".290","72","-4.9","-17.4","-0.9","-0.7","14968"
"Curtis Terry","TEX","13","48","0","3","1","0","4.2%","31.3%",".044",".133",".089",".146",".133",".132",".193","-23","0.3","-7.0","-1.3","-0.7","18881"
"Miguel Cabrera","DET","130","526","15","48","75","0","7.6%","22.4%",".129",".305",".256",".316",".386",".305",".313","92","-6.3","-11.4","-13.0","-0.7","1744"
"Jake Bauers","- - -","115","315","4","27","19","6","9.5%","24.8%",".067",".275",".209",".290",".277",".257",".296","63","0.4","-14.0","-3.4","-0.7","15194"
"Marwin Gonzalez","- - -","91","307","5","30","28","3","6.5%","25.4%",".105",".258",".199",".275",".304",".259",".280","58","-2.0","-17.8","0.7","-0.7","5497"
"Tim Locastro","- - -","64","156","2","15","7","5","4.5%","21.2%",".072",".219",".180",".263",".252",".237",".257","44","0.3","-10.7","-1.1","-0.7","15124"
"Cristian Pache","ATL","22","68","1","6","4","0","2.9%","36.8%",".095",".162",".111",".152",".206",".159",".192","-8","0.1","-9.3","0.2","-0.7","19948"
"Isan Diaz","MIA","89","277","4","25","17","1","12.3%","26.4%",".088",".256",".193",".293",".282",".253",".273","60","0.3","-14.0","-2.0","-0.7","17922"
"Evan White","SEA","30","104","2","8","9","0","5.8%","29.8%",".093",".188",".144",".202",".237",".197",".240","24","0.5","-9.1","-1.3","-0.7","20078"
"Jarred Kelenic","SEA","93","377","14","41","43","6","9.5%","28.1%",".169",".216",".181",".265",".350",".270",".310","73","1.3","-11.0","-8.7","-0.7","22558"
"Carter Kieboom","WSN","62","249","6","26","20","0","10.0%","24.9%",".111",".258",".207",".301",".318",".275",".299","68","-1.9","-11.9","-3.2","-0.7","19958"
"Zack Collins","CHW","78","231","4","25","26","1","14.7%","29.9%",".128",".303",".210",".330",".338",".300",".322","90","-1.1","-3.9","-10.8","-0.7","19181"
