Rank,Top 100,Trend,Name,Pos,Age,Ht,Wt,B,T,School,College Commit,FV,Risk,Report,Video,playerId
"COL-H-22",,,"Levi Usher","CF","20.9472222","6' 1""","195","L","R","Louisville",,"35",,,,
"COL-H-23",,,"Wyatt Young","2B","21.5027777","5' 7""","160","L","R","Pepperdine",,"35",,,,
"COL-H-24",,,"John Rodriguez","SS","21","6' 2""","180","R","R","Florida International",,"35",,,,
"COL-H-25",,,"Pat Winkel","C","21.3583333","6' 2""","187","L","R","Connecticut",,"35",,,,
"COL-H-26",,,"Vinny Tosti","CF","21.4388888","6' 1""","190","R","R","Oregon",,"35",,,,
"COL-H-27",,,"Mark Townsend","LF","21.4277777","6' 1""","190","S","R","Stetson",,"35",,,,
"COL-H-28",,,"Henry Gargus","1B","20.9972222","6' 1""","210","S","L","Stanford",,"35",,,,
"COL-H-29",,,"Michael Carpentier","C","21.0805555","6' 0""","195","L","R","Arizona State",,"35",,,,
"COL-H-30",,,"Jarret Ford","LF","21.6138888","5' 10""","180","R","R","Florida International",,"35",,,,
"COL-H-31",,,"Huey Morill","SS","21.525","5' 10""","156","R","R","Oklahoma State",,"35",,,,
"COL-H-32",,,"Isaac Nunez","3B","21.225","6' 0""","190","R","R","Florida",,"35",,,,
"COL-H-33",,,"Brandon Hylton","1B","21.3472222","6' 6""","220","L","R","Stetson",,"35",,,,
"COL-H-34",,,"Nick Cimillo","RF","21.2861111","6' 2""","200","R","R","Manhattan",,"35",,,,
"COL-H-35",,,"Mac Bingham","CF","20.9305555","5' 11""","190","R","R","Arizona",,"35",,,,
"COL-H-36",,,"Nathan Hickey","C","21.5361111","6' 0""","205","L","R","Florida",,"35",,,,
