prospect_year,player_id,player_first_name,player_last_name,rank,position,preseason100,preseason20,team_file_code,thumb,thumb62x75,thumb124x150,photo180x218,photo360x436
2018,666159,Matt,Manning,53,RHP,55,2,DET,/assets/images/2/7/4/295419274/cuts/74x74/cut.jpg,/assets/images/2/7/4/295419274/cuts/62x75/cut.jpg,/assets/images/2/7/4/295419274/cuts/124x150/cut.jpg,/assets/images/2/7/4/295419274/cuts/180x218/cut.jpg,/assets/images/2/7/4/295419274/cuts/360x436/cut.jpg
2018,665750,Leody,Taveras,54,OF,34,1,TEX,/assets/images/7/3/2/278521732/cuts/74x74/cut.jpg,/assets/images/8/4/4/264699844/cuts/62x75/cut.jpg,/assets/images/8/4/4/264699844/cuts/124x150/cut.jpg,/assets/images/7/3/2/278521732/cuts/180x218/cut.jpg,/assets/images/7/3/2/278521732/cuts/360x436/cut.jpg
2018,665926,Andres,Gimenez,55,SS,,1,NYM,/assets/images/3/6/2/295505362/cuts/74x74/cut.jpg,/assets/images/3/6/2/295505362/cuts/62x75/cut.jpg,/assets/images/3/6/2/295505362/cuts/124x150/cut.jpg,/assets/images/3/6/2/295505362/cuts/180x218/cut.jpg,/assets/images/3/6/2/295505362/cuts/360x436/cut.jpg
2018,679881,Julio Pablo,Martinez,56,OF,70,3,TEX,/assets/images/8/4/6/283151846/cuts/74x74/cut.jpg,/assets/images/8/4/6/283151846/cuts/62x75/cut.jpg,/assets/images/8/4/6/283151846/cuts/124x150/cut.jpg,/assets/images/8/4/6/283151846/cuts/180x218/cut.jpg,/assets/images/8/4/6/283151846/cuts/360x436/cut.jpg
2018,673258,Michel,Baez,57,RHP,42,5,SD,/assets/images/6/1/4/278522614/cuts/74x74/cut.jpg,/assets/images/6/1/4/278522614/cuts/62x75/cut.jpg,/assets/images/6/1/4/278522614/cuts/124x150/cut.jpg,/assets/images/6/1/4/278522614/cuts/180x218/cut.jpg,/assets/images/6/1/4/278522614/cuts/360x436/cut.jpg
2018,624413,Peter,Alonso,58,1B,,4,NYM,/assets/images/1/9/4/287488194/cuts/74x74/cut.jpg,/assets/images/1/9/4/287488194/cuts/62x75/cut.jpg,/assets/images/1/9/4/287488194/cuts/124x150/cut.jpg,/assets/images/1/9/4/287488194/cuts/180x218/cut.jpg,/assets/images/1/9/4/287488194/cuts/360x436/cut.jpg
2018,641540,Dane,Dunning,59,RHP,92,6,CWS,/assets/images/8/8/6/279093886/cuts/74x74/cut.jpg,/assets/images/8/8/6/279093886/cuts/62x75/cut.jpg,/assets/images/8/8/6/279093886/cuts/124x150/cut.jpg,/assets/images/8/8/6/279093886/cuts/180x218/cut.jpg,/assets/images/8/8/6/279093886/cuts/360x436/cut.jpg
2018,663903,Brady,Singer,60,RHP,,,KC,/assets/images/2/5/2/285312252/cuts/74x74/cut.jpg,/assets/images/2/5/2/285312252/cuts/62x75/cut.jpg,/assets/images/2/5/2/285312252/cuts/124x150/cut.jpg,/assets/images/2/5/2/285312252/cuts/180x218/cut.jpg,/assets/images/2/5/2/285312252/cuts/360x436/cut.jpg
2018,669461,Matthew,Liberatore,61,LHP,,,TB,/assets/images/8/0/0/285317800/cuts/74x74/cut.jpg,/assets/images/8/0/0/285317800/cuts/62x75/cut.jpg,/assets/images/8/0/0/285317800/cuts/124x150/cut.jpg,/assets/images/8/0/0/285317800/cuts/180x218/cut.jpg,/assets/images/8/0/0/285317800/cuts/360x436/cut.jpg
2018,672284,Jarred,Kelenic,62,OF,,,NYM,/assets/images/9/8/2/291579982/cuts/74x74/cut.jpg,/assets/images/9/8/2/291579982/cuts/62x75/cut.jpg,/assets/images/9/8/2/291579982/cuts/124x150/cut.jpg,/assets/images/9/8/2/291579982/cuts/180x218/cut.jpg,/assets/images/9/8/2/291579982/cuts/360x436/cut.jpg
2018,663624,Ryan,Mountcastle,63,3B,98,2,BAL,/assets/images/8/7/2/264170872/cuts/74x74/cut.jpg,/assets/images/8/7/2/264170872/cuts/62x75/cut.jpg,/assets/images/8/7/2/264170872/cuts/124x150/cut.jpg,/assets/images/8/7/2/264170872/cuts/180x218/cut.jpg,/assets/images/8/7/2/264170872/cuts/360x436/cut.jpg
