level,pos,G,H,R,-1,2B,3B,AB,BB,CS,HR,PA,SB,SO,AVG,BsR,Def,Fld,HBP,OBP,OPS,Off,RBI,SLG,WAR,Name,Team,wOBA,wRC+,playerid
B,IF-OF,0,0,0,,0,0,1,0,0,0,1,0,0,.248,0.0,0.0,0.0,0,.274,.594,0.0,0,.320,0.0,Harold Castro,Tigers,.260,60,14691
A,C,0,0,0,,0,0,1,0,0,0,1,0,0,.235,0.0,0.0,0.0,0,.282,.608,0.0,0,.326,0.0,Juan Centeno,,.267,65,7168
B,OF,8,7,4,,1,0,30,3,0,1,34,1,8,.231,0.0,-0.2,-0.1,1,.302,.654,-0.8,3,.353,0.0,Jonathan Davis,Blue Jays,.289,80,15104
B,IF-OF,3,3,1,,1,0,11,1,0,0,12,0,2,.243,0.0,0.2,0.0,0,.304,.651,-0.3,1,.347,0.0,Taylor Davis,Cubs,.287,77,12782
A,OF,0,0,0,,0,0,1,0,0,0,1,0,0,.212,0.0,0.0,0.0,0,.272,.619,0.0,0,.347,0.0,Matt den Dekker,,.270,67,11385
A,C,0,0,0,,0,0,1,0,0,0,1,0,0,.236,0.0,0.0,0.0,0,.294,.667,0.0,0,.374,0.0,Tim Federowicz,,.290,80,8609
B,OF,13,11,5,,3,0,46,3,0,1,50,1,13,.231,0.0,-0.6,-0.2,0,.275,.658,-1.4,6,.382,0.0,Johnny Field,Cubs,.284,76,15048
A,IF,5,4,2,,1,0,17,1,0,0,19,0,6,.213,0.0,0.1,-0.1,0,.277,.603,-0.8,2,.326,0.0,Pedro Florimon,Phillies,.266,64,8385
B,IF,0,0,0,,0,0,1,0,0,0,1,0,0,.208,0.0,0.0,0.0,0,.308,.624,0.0,0,.316,0.0,Nolan Fontana,,.281,74,13267
B,IF-OF,2,1,1,,0,0,6,0,0,0,6,0,2,.233,0.0,0.0,0.0,0,.291,.606,-0.3,1,.315,0.0,Mike Freeman,Cubs,.268,65,11241
B,C,5,4,1,,1,0,17,1,0,0,18,0,4,.224,0.0,0.3,0.0,0,.265,.567,-1.0,1,.302,0.0,Rocky Gale,Dodgers,.250,57,10533
B,C,0,0,0,,0,0,1,0,0,0,1,0,0,.204,0.0,0.0,0.0,0,.274,.622,0.0,0,.348,0.0,Dustin Garneau,White Sox,.273,71,9433
A,OF,0,0,0,,0,0,1,0,0,0,1,0,0,.231,0.0,0.0,0.0,0,.292,.614,0.0,0,.322,0.0,Craig Gentry,,.272,68,9571
B,OF,15,12,6,,2,0,54,4,0,2,59,1,18,.222,0.0,-0.3,-0.1,0,.278,.644,-1.8,6,.366,0.0,Mike Gerber,Tigers,.280,74,16115
B,IF,0,0,0,,0,0,1,0,0,0,1,0,0,.264,0.0,0.0,0.0,0,.286,.657,0.0,0,.371,0.0,Miguel Gomez,Giants,.284,78,17075
V,IF,0,0,0,,0,0,1,0,0,0,1,0,0,.258,0.0,0.0,0.0,0,.323,.737,0.0,0,.415,0.0,Adrian Gonzalez,,.317,98,1908
B,C,0,0,0,,0,0,1,0,0,0,1,0,0,.215,0.0,0.0,0.0,0,.282,.581,0.0,0,.299,0.0,Alfredo Gonzalez,White Sox,.260,62,14267
B,IF-OF,0,0,0,,0,0,1,0,0,0,1,0,0,.205,0.0,0.0,0.0,0,.269,.545,-0.1,0,.276,0.0,Terrance Gore,Cubs,.245,50,13658
A,IF,0,0,0,,0,0,1,0,0,0,1,0,0,.243,0.0,0.0,0.0,0,.297,.640,0.0,0,.343,0.0,Phil Gosselin,,.281,74,10953
B,C,3,3,1,,1,0,11,0,0,0,12,0,2,.248,0.0,0.3,0.0,0,.283,.618,-0.5,1,.336,0.0,Juan Graterol,Reds,.271,65,5398
B,OF,0,0,0,,0,0,1,0,0,0,1,0,0,.244,0.0,0.0,0.0,0,.285,.678,0.0,0,.393,0.0,Gabriel Guerrero,Reds,.292,79,14528
B,IF-OF,40,35,13,,6,0,140,13,1,1,157,1,21,.252,0.1,-1.8,-0.9,1,.319,.650,-2.7,13,.331,0.0,Luis Guillorme,Mets,.290,85,16451
B,C,8,6,3,,1,0,27,2,0,1,30,0,10,.203,0.0,0.5,-0.1,0,.261,.629,-1.2,3,.369,0.0,Eric Haase,Indians,.273,65,14111
A,C,0,0,0,,0,0,1,0,0,0,1,0,0,.231,0.0,0.0,0.0,0,.283,.630,0.0,0,.347,0.0,Bryan Holaday,Marlins,.274,74,11287
B,C,0,0,0,,0,0,1,0,0,0,1,0,0,.211,0.0,0.0,0.0,0,.279,.599,0.0,0,.320,0.0,Joe Hudson,Angels,.265,67,14412
B,IF,0,0,0,,0,0,1,0,0,0,1,0,0,.202,0.0,0.0,0.0,0,.287,.584,0.0,0,.297,0.0,Sherman Johnson,Angels,.263,66,13906
B,OF,0,0,0,,0,0,1,0,0,0,1,0,0,.223,0.0,0.0,0.0,0,.293,.606,0.0,0,.314,0.0,Kevin Kaczmarski,Mets,.270,72,18146
