"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"James Jones","Mariners","136","359","0","47","9","28","3.9 %","22.3 %",".059",".310",".238",".268",".296",".252","61","7.5","-8.1","-11.0","-0.8","9767"
"Chris Capuano","- - -","321","422","1","16","20","0","2.4 %","41.7 %",".035",".230",".124",".148",".159",".139","-26","-0.1","-65.5","44.2","-0.8","1701"
"Fernando Martinez","- - -","99","310","9","28","29","2","4.5 %","23.2 %",".156",".241",".206",".269",".362",".279","70","1.3","-9.8","-7.9","-0.8","9210"
"Dave Meier","- - -","145","310","1","37","22","0","7.7 %","8.4 %",".072",".275",".253",".316",".325",".294","76","-2.9","-11.7","-6.3","-0.8","1008729"
"Trevor Crowe","- - -","265","894","4","94","68","35","6.7 %","17.9 %",".082",".292",".240",".294",".322",".276","69","1.1","-32.2","-6.8","-0.9","3402"
"Doug Jennings","- - -","189","380","5","36","37","0","11.3 %","23.7 %",".115",".258",".202",".302",".317",".286","79","-2.1","-11.2","-9.3","-0.9","1006395"
"Jeff Schaefer","- - -","225","388","2","37","20","8","2.6 %","12.6 %",".056",".230",".203",".228",".259",".223","31","0.0","-30.9","11.0","-0.9","1011508"
"Curt Schilling","- - -","527","901","0","39","29","1","2.8 %","30.0 %",".019",".232",".151",".178",".171",".161","-16","-0.3","-132.8","94.6","-0.9","73"
"Larvell Blanks","- - -","156","381","3","36","27","1","7.1 %","9.4 %",".059",".214",".202",".257",".261",".239","39","-0.6","-27.4","7.2","-0.9","1001051"
"Carlos Garcia","- - -","610","2359","33","274","197","73","4.9 %","14.4 %",".108",".300",".266",".307",".374",".301","77","0.2","-67.2","-21.0","-0.9","1004496"
"Brett Wallace","- - -","494","1440","40","143","138","2","8.3 %","30.0 %",".151",".325",".238",".316",".389",".310","93","-7.9","-19.4","-33.7","-0.9","8434"
"Carmen Castillo","- - -","631","1640","55","190","197","15","5.5 %","17.7 %",".166",".277",".252",".298",".418",".316","92","-1.7","-16.2","-46.1","-0.9","1002059"
"Ryan Kalish","- - -","153","422","4","52","36","16","6.4 %","21.8 %",".103",".311",".245",".297",".349",".286","74","2.0","-10.8","-11.4","-0.9","6962"
"Mike Stenhouse","- - -","207","493","9","40","40","1","14.4 %","13.4 %",".101",".203",".190",".308",".291",".279","70","0.1","-16.9","-7.6","-0.9","1012483"
"Jon Singleton","Astros","114","420","14","48","50","3","14.3 %","36.0 %",".160",".242",".171",".290",".331",".284","81","1.6","-7.1","-14.4","-0.9","10441"
"Kyle Hendricks","Cubs","167","343","0","9","15","0","2.6 %","44.3 %",".013",".201",".101",".132",".114",".114","-39","-0.1","-58.5","39.0","-0.9","12049"
"Wandy Rodriguez","- - -","280","511","0","24","21","0","2.0 %","25.4 %",".022",".189",".134",".153",".157",".140","-25","-0.2","-78.4","53.2","-0.9","2586"
"Bob Zupcic","- - -","319","886","7","99","80","7","6.4 %","15.5 %",".096",".291",".250",".303",".346",".293","74","-0.7","-29.5","-8.4","-0.9","1014463"
"Alen Hanson","- - -","261","625","12","82","55","21","4.2 %","23.2 %",".135",".285",".232",".266",".368",".270","68","4.7","-20.7","-9.2","-0.9","12926"
"Abraham Nunez","- - -","136","339","6","42","35","1","10.0 %","21.8 %",".099",".256",".209",".288",".308",".268","54","-0.7","-20.7","-0.2","-0.9","531"
"Jose Lima","- - -","294","344","0","18","10","0","2.0 %","29.4 %",".014",".198",".130",".150",".144",".135","-29","0.0","-59.0","37.9","-0.9","475"
"Fred Stanley","- - -","273","632","4","70","43","2","8.5 %","12.2 %",".048",".221",".197",".270",".245",".244","51","-0.4","-36.4","7.7","-0.9","1012411"
"Grayson Greiner","Tigers","88","340","5","27","31","0","8.8 %","30.0 %",".092",".289",".207",".277",".299",".255","54","-0.4","-20.1","-1.2","-0.9","17062"
"Bob Natal","- - -","120","330","4","13","19","2","9.1 %","20.6 %",".097",".241",".197",".279",".294",".257","50","0.0","-20.6","0.0","-0.9","1009461"
"Dick Davis","- - -","312","1005","22","125","109","11","4.2 %","12.0 %",".135",".286",".269",".300",".404",".314","93","-0.9","-9.7","-33.2","-0.9","1003046"
"Wilton Veras","Red Sox","85","306","2","35","27","0","3.9 %","11.1 %",".078",".287",".262",".297",".340",".284","59","-0.9","-17.7","-3.0","-0.9","1013405"
"Mick Kelleher","- - -","275","419","0","45","21","4","6.7 %","9.8 %",".038",".229",".205",".266",".244",".239","38","-0.7","-30.2","8.3","-0.9","1006779"
"Jason Smith","- - -","278","618","17","65","60","9","3.7 %","29.3 %",".149",".276",".212",".248",".361",".263","53","3.6","-33.6","3.4","-0.9","1227"
"Eric Yelding","- - -","368","1085","3","122","67","89","6.5 %","16.3 %",".050",".291",".244",".292",".294",".267","66","1.4","-41.6","-4.4","-0.9","1014335"
"Steve Wilkerson","Orioles","135","410","10","43","38","4","6.1 %","30.2 %",".147",".296",".219",".279",".365",".276","68","-0.7","-17.4","-6.6","-1.0","16041"
"Danny Jackson","- - -","236","494","0","28","28","0","2.0 %","44.3 %",".037",".257",".126",".148",".164",".142","-24","-0.9","-72.2","47.2","-1.0","1006295"
"Josh Wilson","- - -","431","1190","10","104","84","14","4.5 %","20.8 %",".089",".286",".229",".280",".319",".269","63","-1.5","-54.3","4.1","-1.0","2102"
"Isiah Kiner-Falefa","Rangers","176","618","5","66","55","10","6.8 %","18.0 %",".091",".306",".253",".315",".344",".291","71","-0.7","-22.6","-8.3","-1.0","16512"
"Ted Cox","- - -","177","532","8","40","54","3","7.1 %","11.7 %",".088",".255",".237",".293",".325",".281","67","-1.4","-22.5","-4.5","-1.0","1002708"
"Richie Martin Jr.","Orioles","120","309","6","29","23","10","4.5 %","26.9 %",".113",".272",".208",".260",".322",".252","50","-1.1","-20.7","-0.3","-1.0","17736"
"Phil Stephenson","- - -","194","351","6","35","29","3","13.4 %","17.7 %",".111",".234",".201",".309",".312",".291","78","0.1","-8.5","-12.7","-1.0","1012498"
"Randy Knorr","- - -","253","738","24","82","88","0","6.4 %","21.8 %",".155",".261",".226",".278",".382",".288","69","-0.5","-30.4","-3.9","-1.0","1007050"
"Pete Harnisch","- - -","271","590","2","40","29","0","2.0 %","25.4 %",".049",".176",".129",".150",".177",".148","-21","-0.8","-89.8","60.4","-1.0","1005374"
"Hector Sanchez","- - -","347","834","21","60","120","0","4.1 %","24.8 %",".129",".293",".238",".273",".367",".277","76","-1.2","-24.9","-10.4","-1.0","10289"
"Mark Davidson","- - -","413","736","6","88","57","15","7.9 %","17.4 %",".077",".269",".225",".289",".303",".271","65","-1.6","-32.1","-1.3","-1.0","1003028"
"Freddie Benavides","- - -","219","566","4","53","52","4","3.5 %","16.1 %",".090",".296",".253",".282",".343",".275","59","-0.4","-28.0","-0.9","-1.0","1000825"
"Austin Dean","Marlins","98","311","10","33","35","1","5.1 %","22.2 %",".165",".258",".223",".268",".388",".278","74","0.7","-9.8","-10.2","-1.0","18288"
"Jeff McKnight","- - -","218","443","5","45","34","1","6.3 %","17.2 %",".072",".273",".233",".284",".304",".270","64","-0.2","-19.1","-5.3","-1.0","1008600"
"Mitchell Page","- - -","381","1227","34","150","114","39","9.3 %","21.1 %",".133",".280",".238",".313",".372",".309","92","-4.5","-15.9","-33.3","-1.0","1009954"
"Junior Moore","White Sox","133","347","2","33","33","0","5.5 %","8.9 %",".068",".279",".261",".298",".329",".284","70","-1.5","-14.0","-7.2","-1.0","1009118"
"Taylor Motter","- - -","143","411","10","42","37","13","8.8 %","21.7 %",".121",".222",".191",".263",".312",".254","57","-0.2","-21.9","-2.1","-1.0","12399"
"Dave Silvestri","- - -","181","401","6","42","36","4","14.0 %","23.9 %",".107",".261",".202",".315",".310",".284","68","-0.2","-17.2","-6.3","-1.0","1011972"
"Bob Davis","- - -","124","343","5","24","27","0","5.2 %","11.7 %",".091",".201",".188",".237",".278",".237","37","0.0","-26.0","5.0","-1.0","1003036"
"Dawel Lugo","Tigers","104","389","7","38","34","0","3.9 %","20.3 %",".125",".281",".237",".270",".362",".268","63","-2.2","-20.4","-3.3","-1.0","14713"
"Tommy Gregg","- - -","446","964","20","86","88","14","7.4 %","16.4 %",".119",".274",".243",".301",".363",".296","79","-2.3","-25.9","-15.3","-1.0","1005021"
"Pat Valaika","Rockies","231","433","17","50","51","0","5.3 %","28.9 %",".187",".264",".214",".256",".400",".278","55","1.7","-23.0","-0.8","-1.0","14885"
"Chris Snopek","- - -","215","668","13","76","66","7","7.3 %","16.2 %",".112",".263",".234",".293",".346",".286","68","0.1","-27.5","-6.2","-1.0","1012236"
"Mike Jacobs","- - -","569","2140","100","248","312","5","7.9 %","23.0 %",".220",".287",".253",".313",".473",".335","100","-12.3","-12.5","-69.0","-1.0","2231"
"Alex Ramirez","- - -","135","350","12","38","48","3","4.3 %","22.3 %",".178",".306",".259",".293",".437",".312","77","0.2","-10.8","-12.0","-1.0","1010668"
"Andy Hawkins","Padres","199","382","0","12","10","0","2.6 %","26.2 %",".003",".168",".117",".143",".120",".124","-31","-0.1","-57.5","35.4","-1.0","1005514"
"Cheslor Cuthbert","Royals","322","1160","27","100","119","3","6.5 %","20.2 %",".128",".295",".250",".300",".378",".294","80","-8.6","-37.7","-13.1","-1.0","10473"
"Mike Squires","White Sox","710","1531","6","181","118","38","7.8 %","5.3 %",".057",".271",".260",".320",".317",".292","78","-1.8","-41.9","-16.2","-1.0","1012371"
"Marc Sullivan","Red Sox","137","397","5","37","28","0","4.5 %","23.2 %",".072",".234",".186",".236",".258",".226","30","-0.1","-34.4","10.8","-1.0","1012706"
"Elias Diaz","Pirates","250","815","13","82","82","1","6.7 %","16.7 %",".105",".287",".250",".301",".355",".285","76","-3.3","-29.4","-8.3","-1.0","11680"
"Todd Greene","- - -","536","1657","71","181","217","5","4.0 %","20.0 %",".191",".277",".252",".286",".444",".312","80","-4.6","-49.1","-19.2","-1.0","1450"
"Felix Pie","- - -","425","1082","17","132","99","21","6.5 %","21.0 %",".123",".300",".246",".295",".369",".293","73","2.9","-33.3","-12.5","-1.0","3751"
"Lance Lynn","- - -","247","328","0","15","5","0","3.7 %","47.6 %",".018",".187",".083",".126",".101",".109","-41","-0.1","-54.8","34.7","-1.1","2520"
"Danny Goodwin","- - -","189","532","10","58","63","3","8.6 %","18.8 %",".136",".281",".239",".304",".375",".305","84","0.3","-8.9","-17.9","-1.1","1004864"
"Raimel Tapia","Rockies","255","686","12","91","69","17","4.8 %","22.4 %",".137",".343",".274",".311",".411",".307","73","3.3","-20.9","-12.1","-1.1","14350"
"Yuniesky Betancourt","- - -","1156","4278","80","437","457","30","3.3 %","10.2 %",".127",".273",".261",".285",".388",".292","77","-13.5","-132.0","-20.0","-1.1","8585"
"Ralph Garr","- - -","129","399","9","39","42","2","5.3 %","7.0 %",".113",".260",".260",".300",".373",".300","80","-1.1","-10.6","-12.9","-1.1","1004554"
"Matt Kata","- - -","278","763","12","89","63","9","6.3 %","16.5 %",".131",".274",".239",".290",".370",".288","65","3.4","-30.1","-6.0","-1.1","1741"
"Roy Halladay","- - -","395","305","0","15","12","0","1.3 %","44.9 %",".007",".246",".124",".136",".131",".121","-36","-0.1","-50.1","30.4","-1.1","1303"
"Scott Thorman","Braves","175","440","16","50","50","2","4.3 %","20.7 %",".186",".245",".222",".260",".407",".284","65","-0.1","-20.0","-5.5","-1.1","2238"
"Chris Carpenter","- - -","336","501","2","18","21","0","2.4 %","28.7 %",".032",".170",".118",".145",".150",".136","-26","-0.5","-79.5","52.6","-1.1","1292"
"Jamey Wright","- - -","722","507","1","26","17","0","2.4 %","35.3 %",".045",".240",".144",".167",".190",".160","-26","0.0","-82.8","55.1","-1.1","715"
"Brian Bixler","- - -","183","356","2","41","14","9","6.2 %","32.9 %",".080",".289",".189",".249",".269",".229","35","2.2","-25.9","4.3","-1.1","8055"
"Andy Tomberlin","- - -","192","338","11","40","38","6","7.7 %","30.5 %",".141",".314",".233",".304",".374",".302","79","0.7","-8.7","-13.4","-1.1","1013108"
"Cody Asche","- - -","390","1349","32","129","129","5","7.0 %","24.5 %",".141",".294",".234",".293",".376",".292","82","-1.2","-30.1","-22.5","-1.1","11997"
"Rafael Ortega","- - -","143","447","3","41","33","17","7.2 %","15.7 %",".061",".270",".229",".287",".290",".258","59","0.2","-22.4","-3.0","-1.1","10323"
"Bronson Arroyo","- - -","436","732","6","35","29","1","1.9 %","37.7 %",".054",".214",".129",".148",".183",".147","-24","0.0","-111.5","77.7","-1.1","978"
"Angel Echevarria","- - -","328","606","21","70","90","1","7.6 %","17.2 %",".175",".308",".280",".343",".455",".347","95","-2.4","-6.7","-24.2","-1.1","1498"
"Ubaldo Jimenez","- - -","329","341","0","12","11","0","5.0 %","29.9 %",".000",".180",".117",".166",".117",".137","-36","-0.1","-56.9","35.4","-1.1","3374"
"Danny Cox","- - -","203","416","0","17","12","0","3.1 %","36.5 %",".014",".188",".109",".144",".123",".127","-31","0.0","-63.4","39.2","-1.1","1002695"
"J.R. Phillips","- - -","242","545","23","52","67","2","7.0 %","33.0 %",".180",".237",".188",".247",".367",".266","55","-0.1","-31.3","1.2","-1.1","1010294"
"Grant Green","- - -","129","353","4","36","38","1","4.8 %","24.9 %",".088",".321",".248",".283",".336",".272","73","-1.8","-13.0","-9.0","-1.1","10053"
"Rey Quinones","- - -","451","1668","29","173","159","5","5.3 %","14.4 %",".114",".269",".243",".287",".357",".287","73","-4.0","-57.3","-9.0","-1.1","1010615"
"Phil Hiatt","- - -","170","463","13","50","55","7","6.5 %","32.2 %",".152",".298",".216",".278",".367",".287","68","0.2","-18.6","-8.1","-1.1","1005763"
"Willie Norwood","Twins","130","370","7","38","38","10","6.2 %","17.3 %",".122",".264",".230",".278",".353",".282","65","-0.4","-15.7","-7.5","-1.1","1009648"
"Dustin Hermanson","- - -","324","384","2","14","10","0","5.2 %","41.9 %",".034",".176",".093",".151",".127",".136","-32","0.0","-66.9","42.3","-1.1","195"
"Mark Gardner","- - -","333","589","1","22","22","0","2.7 %","35.0 %",".020",".203",".123",".155",".142",".140","-25","0.0","-91.4","60.8","-1.1","1004529"
"Dave Cochrane","- - -","218","562","8","43","43","1","7.1 %","23.0 %",".097",".299",".235",".294",".333",".287","74","-1.1","-17.9","-11.5","-1.1","1002381"
"Jorge Fabregas","- - -","646","1994","23","153","211","4","5.7 %","10.9 %",".074",".260",".241",".284",".315",".266","53","-1.8","-125.1","43.9","-1.2","12"
"John Ellis","Rangers","207","601","14","47","91","5","5.7 %","14.6 %",".122",".275",".254",".298",".376",".301","84","-0.1","-11.2","-19.5","-1.2","1003750"
"Larry Milbourne","- - -","566","1689","6","165","118","20","5.2 %","6.6 %",".068",".282",".267",".306",".334",".289","74","-3.9","-56.2","-10.2","-1.2","1008858"
"Todd Benzinger","- - -","924","3106","66","316","376","21","5.8 %","17.8 %",".129",".294",".257",".301",".386",".302","85","-8.0","-60.7","-51.0","-1.2","1000859"
"Andy Phillips","- - -","259","604","14","77","70","3","5.6 %","18.2 %",".135",".286",".250",".294",".384",".297","75","-4.1","-23.1","-9.7","-1.2","2075"
"Bruce Ruffin","- - -","421","341","0","13","7","0","6.7 %","41.9 %",".014",".158",".081",".148",".095",".124","-37","-0.1","-55.7","32.7","-1.2","1011294"
"Rafael Bournigal","- - -","365","1035","4","104","85","12","5.7 %","6.2 %",".067",".265",".251",".301",".318",".280","64","0.2","-48.8","-0.1","-1.2","1001239"
"Freddy Garcia","- - -","175","439","19","53","56","0","7.5 %","27.6 %",".197",".266",".222",".283",".419",".302","75","-1.3","-15.4","-11.1","-1.2","1004500"
"Tim Federowicz","- - -","163","443","12","31","39","1","5.6 %","32.3 %",".135",".260",".192",".241",".328",".244","50","-3.5","-29.7","4.4","-1.2","8609"
"Ryan Lavarnway","- - -","151","445","9","35","50","0","7.0 %","24.3 %",".132",".262",".211",".270",".343",".269","63","-3.4","-22.5","-3.3","-1.2","8879"
"Ed Whitson","- - -","329","657","1","24","27","0","2.7 %","24.5 %",".021",".173",".125",".152",".146",".140","-21","-0.1","-91.1","58.4","-1.2","1013911"
"Paul Maholm","- - -","273","537","2","20","18","0","4.5 %","46.9 %",".021",".223",".109",".151",".130",".134","-29","-0.2","-84.8","56.3","-1.2","8678"
"Mario Soto","Reds","286","583","1","32","23","0","1.7 %","27.6 %",".035",".192",".134",".152",".169",".147","-22","0.0","-80.2","50.2","-1.2","1012289"
"Trayvon Robinson","Mariners","90","319","5","28","26","7","6.9 %","32.6 %",".115",".317",".215",".272",".330",".267","70","0.8","-10.4","-11.8","-1.2","9875"
"Steve Clevenger","- - -","170","522","4","45","48","0","7.1 %","17.2 %",".097",".272",".227",".284",".324",".269","65","-6.8","-27.9","-0.3","-1.2","9542"
"Donnie Scott","- - -","173","491","7","34","43","1","7.1 %","17.7 %",".097",".251",".217",".271",".314",".265","60","-0.7","-23.6","-4.3","-1.2","1011677"
"Tracy Woodson","- - -","215","535","5","42","50","2","3.7 %","14.6 %",".081",".281",".247",".279",".328",".271","71","-1.0","-20.1","-9.9","-1.2","1014244"
"Josh Fogg","- - -","236","404","0","21","11","1","3.2 %","28.0 %",".012",".180",".119",".155",".131",".135","-35","0.1","-69.5","43.6","-1.2","989"
"Rafael Belliard","- - -","1154","2524","2","217","142","43","5.4 %","15.2 %",".039",".263",".221",".270",".259",".241","44","1.1","-167.0","73.1","-1.2","1000811"
"Abraham Nunez","- - -","1030","2804","18","286","209","38","8.9 %","15.9 %",".072",".287",".242",".313",".314",".282","64","-4.7","-136.3","29.9","-1.2","1420"
"Rick Bosetti","- - -","255","952","12","93","88","17","4.4 %","11.4 %",".097",".265",".244",".280",".341",".279","64","-4.4","-45.2","2.6","-1.2","1001211"
"Jose Herrera","Athletics","141","423","6","53","32","9","6.1 %","16.5 %",".103",".308",".264",".314",".367",".303","77","-0.5","-14.0","-14.2","-1.2","1005722"
"Rob Picciolo","- - -","504","1176","13","141","80","7","1.2 %","15.8 %",".086",".286",".247",".257",".333",".264","64","-0.9","-51.9","1.2","-1.2","1010307"
"Guillermo Quiroz","- - -","148","380","3","24","34","1","5.8 %","22.4 %",".078",".254",".199",".256",".277",".241","42","-3.9","-30.7","5.8","-1.2","7989"
"Juan Castillo","Brewers","199","534","3","60","38","18","7.7 %","19.5 %",".064",".268",".215",".282",".279",".258","53","0.0","-30.9","0.9","-1.3","1002063"
"Matt LaPorta","Indians","291","1068","31","106","120","3","7.7 %","20.9 %",".155",".276",".238",".301",".393",".306","90","-10.4","-22.9","-25.7","-1.3","2280"
"Shawn Abner","- - -","392","902","11","89","71","6","4.8 %","17.0 %",".095",".264",".227",".269",".323",".263","61","-2.1","-41.6","1.4","-1.3","1000024"
"Brandon Larson","Reds","109","332","8","29","37","4","10.5 %","25.9 %",".120",".220",".179",".271",".299",".258","49","-1.2","-23.3","-0.7","-1.3","336"
"Barry Zito","- - -","420","418","0","12","11","0","4.3 %","23.7 %",".000",".143",".102",".146",".102",".121","-34","-0.2","-69.4","43.6","-1.3","944"
"Darrell Whitmore","Marlins","112","357","5","31","21","4","5.0 %","25.8 %",".091",".265",".203",".254",".294",".250","46","-0.4","-24.2","-1.1","-1.3","1013903"
"Mario Guerrero","Athletics","162","591","2","44","41","3","4.2 %","6.6 %",".057",".247",".236",".267",".293",".253","55","-1.0","-32.8","0.7","-1.3","1005118"
"Brent Brede","- - -","169","473","5","50","40","8","9.7 %","18.2 %",".107",".304",".251",".328",".358",".309","79","0.7","-11.6","-17.1","-1.3","1001377"
"Scott Sanderson","- - -","300","550","2","20","26","0","4.7 %","38.7 %",".042",".174",".097",".152",".138",".141","-24","0.0","-78.4","48.0","-1.3","1011422"
"Chico Walker","- - -","526","1351","17","150","116","67","8.1 %","15.7 %",".084",".281",".246",".305",".329",".288","74","5.6","-36.2","-21.7","-1.3","1013509"
"Delmon Young","- - -","1118","4371","109","473","566","36","4.1 %","17.9 %",".138",".323",".283",".316",".421",".320","96","-18.9","-38.1","-122.7","-1.3","2140"
"Rob Refsnyder","- - -","166","423","4","46","22","8","11.1 %","18.9 %",".084",".266",".218",".308",".302",".272","68","-3.6","-20.3","-7.1","-1.3","13770"
"Jake Fox","- - -","193","534","20","55","73","0","5.1 %","19.9 %",".188",".259",".237",".288",".425",".309","85","-6.2","-15.7","-14.7","-1.3","6267"
"Luis Sardinas","- - -","182","500","5","50","32","10","5.8 %","22.0 %",".068",".284",".224",".274",".292",".250","53","1.4","-26.7","-2.1","-1.3","13153"
"Fernando Gonzalez","Padres","114","341","9","22","34","0","5.3 %","10.0 %",".142",".218",".217",".258",".359",".261","63","0.1","-14.8","-9.9","-1.3","1004832"
"Ryan McGuire","- - -","368","731","7","64","55","3","12.0 %","19.7 %",".100",".260",".211",".306",".311",".283","64","-2.2","-35.4","-1.9","-1.3","155"
"Omir Santos","- - -","122","349","7","29","41","0","4.3 %","14.6 %",".115",".269",".248",".280",".363",".280","68","-3.2","-16.9","-7.2","-1.3","3583"
"Jerry Narron","- - -","392","926","21","64","96","0","7.2 %","13.7 %",".107",".223",".211",".270",".318",".266","61","0.0","-42.3","-0.7","-1.3","1009453"
"Sandy Martinez","- - -","218","611","6","39","51","1","6.1 %","24.1 %",".103",".300",".230",".284",".333",".277","59","0.1","-33.8","-1.4","-1.3","784"
"Ray Olmedo","- - -","218","484","2","53","27","6","5.4 %","18.6 %",".063",".283",".230",".273",".293",".254","47","6.5","-26.2","-3.4","-1.3","1718"
"David Hulse","- - -","423","1370","5","207","103","69","5.5 %","14.9 %",".071",".311",".266",".307",".337",".289","69","7.0","-49.5","-11.1","-1.4","1006176"
"John Bowker","- - -","240","622","17","54","73","2","6.3 %","21.9 %",".150",".272",".232",".283",".382",".289","73","-2.6","-23.0","-9.7","-1.4","8276"
"Joe Simpson","- - -","536","1464","9","158","122","44","5.9 %","11.9 %",".078",".274",".245",".292",".323",".278","66","-1.0","-58.3","-0.5","-1.4","1011996"
"Steve Jeltz","- - -","727","2041","5","183","130","18","12.2 %","16.8 %",".058",".257",".210",".308",".268",".265","61","-1.2","-92.2","13.0","-1.4","1006387"
"Joe Borchard","- - -","301","800","26","89","77","5","9.3 %","27.8 %",".147",".257",".205",".284",".352",".279","62","2.9","-35.7","-5.2","-1.4","224"
"Ramon Flores","- - -","119","331","2","21","20","3","9.4 %","19.0 %",".052",".249",".204",".281",".256",".241","43","-1.3","-24.2","0.4","-1.4","11165"
"Jim Deshaies","- - -","202","440","0","13","12","0","5.2 %","42.3 %",".000",".176",".088",".141",".088",".117","-34","-0.5","-67.9","40.9","-1.4","1003228"
"Christin Stewart","Tigers","121","488","12","39","50","0","9.0 %","23.8 %",".154",".292",".238",".316",".392",".302","85","-3.4","-12.6","-18.6","-1.4","17714"
"Choo Freeman","Rockies","151","318","3","45","29","6","8.8 %","21.4 %",".109",".285",".225",".296",".333",".277","51","0.5","-19.7","-5.3","-1.4","1872"
"Ron Calloway","Expos","172","460","10","40","62","11","5.4 %","22.2 %",".120",".269",".224",".268",".344",".268","53","0.2","-27.5","-1.9","-1.4","1649"
"Raul Chavez","- - -","263","725","7","48","65","4","4.3 %","15.9 %",".074",".267",".231",".266",".304",".251","44","-4.5","-56.7","18.2","-1.4","553"
"Tyler Moore","- - -","381","852","30","75","121","3","5.9 %","27.5 %",".173",".283",".228",".278",".401",".293","82","-1.7","-20.3","-19.1","-1.4","7244"
"Chris Truby","- - -","263","884","23","78","107","5","4.3 %","23.2 %",".158",".275",".231",".269",".388",".281","63","0.8","-41.0","-2.4","-1.4","799"
"Jeff Fassero","- - -","713","340","0","21","6","1","5.3 %","44.4 %",".014",".183",".083",".139",".098",".119","-40","0.2","-61.3","35.5","-1.4","279"
"Mike Caruso","- - -","281","1140","7","144","90","34","3.1 %","6.7 %",".064",".289",".274",".302",".339",".287","65","-2.5","-55.0","0.1","-1.4","595"
"Juan Bell","- - -","329","940","10","107","71","16","8.9 %","20.1 %",".086",".259",".212",".284",".298",".266","59","0.3","-45.6","2.3","-1.4","1000813"
"Pablo Ozuna","- - -","309","728","3","83","45","29","3.2 %","9.6 %",".077",".311",".282",".318",".359",".301","75","2.1","-20.1","-19.0","-1.4","1469"
"Alberto Gonzalez","- - -","427","1023","4","97","91","2","4.4 %","12.7 %",".076",".269",".239",".275",".315",".260","56","-6.7","-59.5","13.7","-1.4","4906"
"Brent Lillibridge","- - -","358","784","19","102","71","37","6.3 %","30.0 %",".127",".275",".205",".267",".332",".267","60","9.2","-28.5","-11.8","-1.4","3501"
"Dave Chalk","- - -","171","505","3","36","38","3","10.1 %","8.5 %",".069",".251",".234",".316",".303",".289","76","-0.5","-14.8","-16.1","-1.4","1002114"
"Ken Huckaby","- - -","161","451","3","42","31","0","4.2 %","17.3 %",".059",".266",".222",".256",".281",".239","36","-2.7","-38.5","8.6","-1.4","1306"
"Hiram Bocachica","- - -","272","584","15","69","37","16","7.0 %","23.8 %",".140",".261",".215",".272",".355",".276","67","-2.7","-26.8","-7.2","-1.4","1404"
"Omar Quintanilla","- - -","402","1162","8","118","74","5","8.3 %","20.5 %",".074",".277",".220",".287",".295",".260","52","1.7","-65.4","14.4","-1.4","6335"
"Adrian Brown","- - -","447","1272","11","166","86","45","8.6 %","12.7 %",".082",".292",".258",".325",".340",".301","73","1.7","-41.5","-13.7","-1.4","985"
"Mike Tyson","- - -","248","673","10","58","51","4","5.2 %","15.5 %",".111",".253",".225",".269",".335",".267","58","-0.4","-32.5","-3.0","-1.5","1013258"
"Lou Montanez","- - -","129","323","5","31","32","1","3.7 %","16.7 %",".105",".254",".223",".258",".328",".259","50","0.3","-19.1","-6.3","-1.5","2923"
"Brad Wellman","- - -","441","1015","6","97","77","26","5.8 %","17.3 %",".056",".277",".231",".280",".287",".260","62","-0.9","-45.1","-2.2","-1.5","1013765"
"Billy Ashley","- - -","281","688","28","56","84","0","9.2 %","34.3 %",".176",".325",".233",".307",".409",".314","94","-0.1","-4.5","-32.0","-1.5","1000339"
"Jeff Gardner","- - -","186","549","1","60","26","2","9.7 %","16.0 %",".081",".296",".246",".319",".327",".297","78","-2.0","-16.3","-17.2","-1.5","1004526"
"Houston Jimenez","- - -","158","438","0","34","29","0","4.6 %","11.2 %",".049",".208",".185",".221",".234",".209","19","-0.8","-42.3","15.0","-1.5","1006411"
"Tony Pena","- - -","327","870","4","95","66","8","2.3 %","17.2 %",".072",".271",".228",".248",".300",".240","36","-2.4","-71.4","26.9","-1.5","2240"
"Tom Nieto","- - -","251","697","5","37","69","0","7.9 %","19.4 %",".076",".254",".205",".280",".281",".253","55","-1.4","-38.1","0.9","-1.5","1009593"
"Randall Simon","- - -","537","1717","49","172","237","2","4.8 %","8.6 %",".139",".285",".283",".320",".422",".319","91","-8.8","-28.0","-44.7","-1.5","497"
"Tom Donohue","Angels","122","343","5","31","28","7","2.9 %","26.8 %",".080",".262",".200",".230",".280",".232","38","1.0","-24.0","-1.8","-1.5","1003391"
"Dave Van Gorder","- - -","183","468","3","30","38","1","8.3 %","13.5 %",".055",".241",".212",".280",".267",".249","49","0.1","-27.0","-3.1","-1.5","1013356"
"Gio Gonzalez","- - -","332","475","3","16","17","0","1.9 %","40.0 %",".039",".155",".090",".118",".129",".113","-41","-0.1","-81.2","51.8","-1.5","7448"
"Edinson Volquez","- - -","288","362","1","15","9","0","2.2 %","43.1 %",".016",".178",".091",".114",".107",".102","-46","-0.1","-63.3","37.6","-1.5","3990"
"Matt Clement","- - -","239","410","0","22","12","0","3.4 %","42.4 %",".020",".189",".095",".139",".115",".122","-38","0.0","-73.7","44.6","-1.5","271"
"Pedro Munoz","- - -","517","1832","67","203","252","11","5.5 %","22.8 %",".171",".324",".273",".315",".444",".334","99","-2.0","-3.7","-71.7","-1.5","1009331"
