"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Ruben Sierra","- - -","2186","8782","306","1084","1322","142","6.9 %","14.1 %",".182",".279",".268",".315",".450",".330","101","8.0","12.9","-177.2","13.9","1099"
"Julio Lugo","- - -","1352","5338","80","688","475","198","8.2 %","16.4 %",".115",".312",".269",".333",".384",".317","88","14.6","-64.8","27.0","13.9","565"
"Mike Zunino","- - -","677","2376","104","236","273","2","6.6 %","34.2 %",".192",".266",".202",".271",".395",".289","83","-5.1","-51.6","106.8","13.9","13265"
"Jarrod Dyson","- - -","858","2618","21","361","170","250","8.7 %","16.6 %",".091",".294",".247",".319",".338",".291","80","52.4","-12.4","59.8","13.9","4866"
"Jose Offerman","- - -","1651","6582","57","840","537","172","11.7 %","13.9 %",".100",".315",".273",".360",".373",".330","97","-7.8","-28.1","-56.4","13.9","205"
"Dan Wilson","- - -","1299","4616","88","441","519","23","6.1 %","16.5 %",".120",".299",".262",".309",".382",".304","80","-6.6","-128.6","108.5","13.9","1102"
"Mike Easler","- - -","1094","3954","117","455","513","19","8.0 %","17.0 %",".163",".333",".295",".352",".459",".357","121","-6.5","87.0","-84.5","13.9","1003635"
"Willie Upshaw","- - -","1169","4486","122","570","511","84","9.6 %","13.5 %",".162",".283",".264",".337",".425",".337","105","-5.4","21.9","-33.9","13.8","1013293"
"Mike Hargrove","- - -","940","3689","33","403","391","14","14.4 %","7.4 %",".088",".303",".288",".393",".376",".352","117","-5.6","66.9","-54.7","13.8","1005361"
"Hubie Brooks","- - -","1645","6476","149","656","824","64","6.0 %","15.5 %",".134",".299",".269",".315",".403",".317","99","-10.5","-19.1","-62.5","13.8","1001472"
"Dick Schofield","- - -","1368","4928","56","505","353","120","9.1 %","13.9 %",".086",".260",".230",".308",".316",".287","76","6.1","-135.6","109.3","13.8","1011602"
"Ron Karkovice","White Sox","939","2948","96","336","335","24","7.9 %","25.4 %",".162",".269",".221",".289",".383",".299","81","-1.4","-73.4","109.3","13.7","1006700"
