"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"Bo McLaughlin","- - -","2","7","1","81","3","126.0","6.21","4.00","0.57",".333","59.0 %","","","5.57","3.59","","0.8","1008608"
"Seth Maness","- - -","18","10","7","252","0","247.0","5.68","1.71","0.84",".313","76.4 %","59.0 %","13.6 %","3.21","3.68","3.44","0.8","12235"
"Mauro Gozzo","- - -","7","7","1","48","13","124.0","3.99","3.70","0.65",".314","60.9 %","","","5.30","4.34","","0.8","1004906"
"Trevor Gott","- - -","12","4","1","131","0","128.1","7.57","3.44","0.77",".291","67.5 %","50.3 %","9.1 %","4.56","3.94","4.46","0.8","15046"
"Jaime Barria","Angels","14","19","0","45","39","212.0","7.34","3.14","1.74",".277","77.1 %","35.9 %","14.4 %","4.58","5.22","5.12","0.8","18356"
"Ryan Tepera","Blue Jays","12","11","10","216","1","215.1","8.48","3.22","1.25",".254","76.0 %","44.4 %","13.6 %","3.64","4.41","4.34","0.8","10291"
"Brendan McKay","Rays","2","4","0","13","11","49.0","10.29","2.94","1.47",".331","64.0 %","35.2 %","13.1 %","5.14","4.03","4.38","0.8","20186"
"Orber Moreno","- - -","3","1","1","47","0","50.2","7.28","3.55","0.36",".273","58.5 %","52.8 %","2.7 %","4.44","3.32","3.89","0.8","617"
"Enrique Gonzalez","- - -","4","8","0","55","18","150.1","5.03","3.77","1.20",".288","62.8 %","43.3 %","10.7 %","5.81","5.08","5.03","0.8","2568"
"Tim Collins","- - -","12","17","0","275","0","242.1","9.10","5.05","0.89",".285","77.0 %","39.7 %","8.8 %","3.60","4.10","4.39","0.8","3164"
"Kolby Allard","- - -","5","3","0","12","10","53.1","6.08","3.88","1.01",".348","66.6 %","42.3 %","10.2 %","6.08","4.78","5.42","0.8","18694"
"Jim Henderson","- - -","10","11","31","155","0","137.0","11.63","3.61","1.25",".306","80.1 %","30.5 %","12.4 %","3.68","3.62","3.47","0.8","6653"
"Tyler Wilson","Orioles","8","10","0","42","19","145.1","4.77","2.42","1.18",".309","69.2 %","46.0 %","11.7 %","5.02","4.71","4.84","0.8","12691"
"Justin Anderson","Angels","6","3","5","111","0","102.1","11.17","6.33","0.79",".306","70.1 %","43.2 %","10.3 %","4.75","4.10","4.52","0.8","16201"
"Sammy Solis","Nationals","5","7","1","141","0","127.2","9.59","3.95","0.99",".312","70.4 %","44.4 %","11.8 %","4.51","3.90","4.01","0.8","11457"
"Mark Rogers","Brewers","3","1","0","11","9","49.0","9.55","3.12","0.92",".264","76.0 %","41.3 %","10.6 %","3.49","3.46","3.51","0.8","4083"
"Matt Whisenant","- - -","9","8","3","189","0","158.0","6.49","5.92","0.46",".292","66.3 %","","","4.96","4.57","","0.8","1013843"
"Trey Moore","- - -","3","10","0","23","19","100.1","5.38","3.59","1.08",".357","66.6 %","","","5.83","4.84","","0.8","1009130"
"Scott Lewis","Angels","9","9","0","74","19","178.0","4.25","2.98","1.11",".307","70.3 %","","","5.01","4.70","","0.8","1007588"
"Rich Croushore","- - -","5","11","11","111","0","142.0","9.44","5.26","1.01",".291","67.8 %","","","4.88","4.45","","0.8","1002819"
"Pep Harris","Angels","10","5","0","121","3","172.0","5.76","4.08","0.94",".279","75.3 %","","","3.92","4.66","","0.8","1005427"
"Dwight Bernard","- - -","3","4","6","85","1","128.0","4.64","4.15","0.42",".311","69.2 %","","","4.08","3.70","","0.8","1000887"
"Austin Gomber","Cardinals","6","2","0","29","11","75.0","8.04","3.84","0.84",".330","71.8 %","38.1 %","9.1 %","4.44","4.03","4.51","0.8","16561"
"Ryan Jensen","- - -","17","12","0","57","42","252.2","5.41","3.67","1.28",".299","71.0 %","35.6 %","10.5 %","5.06","5.00","4.94","0.8","1117"
"John Lamb","- - -","2","13","0","27","27","129.2","8.81","3.75","1.80",".347","66.4 %","39.8 %","17.4 %","6.25","5.11","4.33","0.8","8493"
"Mickey Callaway","- - -","4","11","0","40","20","130.2","5.92","3.99","1.17",".338","61.1 %","52.2 %","14.0 %","6.27","4.87","4.25","0.7","7"
"Bud Anderson","Indians","4","10","7","64","6","149.0","4.59","3.74","0.72",".276","72.1 %","","","3.68","4.03","","0.7","1000220"
"Jim Brower","- - -","33","32","5","354","28","574.0","6.22","4.01","1.10",".296","71.2 %","51.4 %","11.3 %","4.67","4.73","4.27","0.7","313"
"Bill Mooneyham","Athletics","4","5","2","45","6","99.2","6.77","6.05","0.36",".322","71.7 %","","","4.52","3.89","","0.7","1009082"
"Alex Sanabia","Marlins","8","10","0","28","24","138.2","5.58","2.86","1.17",".306","75.9 %","36.7 %","9.1 %","4.15","4.61","4.75","0.7","5350"
"Blas Minor","- - -","13","10","5","157","0","225.0","7.36","2.80","1.16",".303","72.2 %","","","4.40","4.14","","0.7","1008982"
"Darren Hall","- - -","5","12","22","130","0","126.0","7.00","4.21","0.86",".325","76.5 %","","","3.93","4.26","","0.7","1005240"
"Richard Rodriguez","- - -","8","8","1","140","0","140.1","9.88","2.89","1.48",".299","83.1 %","40.3 %","13.5 %","3.53","4.25","4.34","0.7","13549"
"Shawn Armstrong","- - -","2","2","5","108","0","116.0","9.00","3.80","1.24",".299","76.4 %","35.1 %","11.1 %","4.34","4.45","4.96","0.7","12857"
"Dyar Miller","- - -","3","2","1","78","1","131.0","5.02","3.02","0.55",".333","74.2 %","","","3.71","3.46","","0.7","1008889"
"Kurt Ainsworth","- - -","6","8","0","29","22","126.2","6.39","4.33","1.14",".305","69.6 %","44.8 %","11.5 %","5.19","4.88","4.72","0.7","1431"
"Jesus Sanchez","- - -","23","34","0","162","83","524.2","6.59","4.82","1.41",".301","70.6 %","35.3 %","19.6 %","5.32","5.38","6.45","0.7","1476"
"Jeff Lahti","Cardinals","17","11","20","205","1","286.0","4.31","3.49","0.44",".257","74.3 %","","","3.12","3.63","","0.7","1007257"
"Buddy Boshers","- - -","3","3","0","128","1","106.1","8.80","2.96","1.10",".305","67.8 %","45.6 %","12.4 %","4.49","3.91","4.03","0.7","8490"
"Tanner Scott","Orioles","4","4","0","83","0","81.1","12.73","5.42","1.11",".387","69.1 %","47.5 %","20.4 %","5.31","3.87","3.33","0.7","17586"
"Larry Luebbers","- - -","5","10","1","36","23","143.1","3.96","4.14","1.00",".275","64.8 %","","","4.96","5.09","","0.7","1007817"
"Tim Spooneybarger","- - -","2","3","1","88","0","97.1","6.29","3.61","0.46",".235","70.5 %","61.5 %","7.8 %","3.24","3.56","3.85","0.7","1484"
"Glenn Dishman","- - -","5","10","0","33","21","135.1","4.39","2.99","1.13",".284","64.1 %","","","5.25","4.90","","0.7","1003324"
"Severino Gonzalez","Phillies","4","5","0","34","7","66.0","8.45","1.91","1.23",".368","59.7 %","30.7 %","9.5 %","6.68","3.90","4.41","0.7","14697"
"Ed Halicki","- - -","8","9","0","54","27","186.0","5.37","3.29","1.06",".290","63.6 %","","","4.74","4.23","","0.7","1005228"
"Chris Peters","- - -","19","25","2","136","49","379.2","5.31","3.72","1.28",".294","71.4 %","","","4.81","5.15","","0.7","1010225"
"Adam Kolarek","- - -","8","3","3","123","0","97.2","6.27","2.30","0.83",".287","73.7 %","62.6 %","13.4 %","3.78","4.01","4.06","0.7","10843"
"Trevor Hildenberger","Twins","9","11","9","132","0","131.1","8.84","2.67","1.23",".327","67.0 %","48.6 %","17.0 %","5.35","4.08","3.70","0.7","17002"
"Sam Gaviglio","- - -","11","17","0","94","37","293.2","7.42","2.64","1.69",".286","71.3 %","48.5 %","18.2 %","4.84","4.95","4.37","0.7","12778"
"Mark DiFelice","Brewers","5","1","0","77","0","73.2","8.67","2.57","1.34",".280","78.0 %","25.7 %","9.3 %","3.79","4.01","4.17","0.7","2468"
"Rich Rodriguez","- - -","31","22","8","609","2","640.2","5.56","3.67","0.87",".287","73.8 %","43.1 %","5.3 %","3.81","4.30","4.73","0.7","1276"
"Hunter Wood","- - -","2","2","1","66","10","86.2","8.41","3.12","1.14",".306","79.2 %","37.6 %","10.9 %","3.32","4.04","4.56","0.7","15091"
"Ed Wojna","- - -","4","10","0","36","20","132.1","4.08","3.74","0.68",".302","65.0 %","","","4.62","4.19","","0.7","1014183"
"Andrew Suarez","Giants","7","15","0","50","31","193.0","7.23","2.75","1.40",".304","70.4 %","50.9 %","18.8 %","4.71","4.56","3.97","0.7","18300"
"Edgar Santana","Pirates","3","4","0","88","0","84.1","7.90","2.56","0.96",".282","77.9 %","45.6 %","10.8 %","3.31","3.79","4.05","0.7","17355"
"Lorenzo Barcelo","White Sox","5","3","0","43","1","66.0","5.73","2.45","0.95",".282","65.6 %","46.2 %","11.1 %","4.50","4.06","5.21","0.7","1435"
"Julio Mateo","Mariners","18","12","2","219","1","318.1","6.11","2.40","1.27",".261","78.6 %","30.6 %","9.1 %","3.68","4.53","4.89","0.7","1087"
"Andrew Brown","- - -","4","3","0","73","0","86.2","8.10","4.78","0.42",".267","71.2 %","38.4 %","3.8 %","3.84","3.75","4.74","0.7","2115"
"Terry Mathews","- - -","22","21","10","324","5","421.2","6.40","3.84","1.07",".295","74.0 %","","","4.25","4.51","","0.7","1008241"
"Dylan Cease","White Sox","4","7","0","14","14","73.0","9.99","4.32","1.85",".326","68.1 %","45.7 %","21.4 %","5.79","5.19","4.42","0.7","18525"
"Gregory Infante","White Sox","3","2","0","67","0","68.1","7.90","4.21","0.53",".291","74.7 %","36.3 %","5.0 %","3.56","3.69","4.95","0.7","9119"
"J.B. Wendelken","Athletics","3","1","0","48","0","62.0","8.71","3.34","0.87",".247","66.0 %","36.5 %","7.4 %","4.06","3.72","4.84","0.7","14506"
"Nate Minchey","- - -","3","7","0","15","12","64.0","5.34","3.94","0.98",".392","60.9 %","","","6.75","4.61","","0.7","1008975"
"Sam Freeman","- - -","8","7","0","264","0","228.2","8.90","5.08","0.67",".289","76.0 %","51.9 %","9.7 %","3.62","3.99","4.21","0.7","6832"
"Eric Bell","- - -","15","18","0","68","34","234.2","5.83","4.30","1.46",".277","67.8 %","","","5.18","5.15","","0.7","1000803"
"Jeff Innis","Mets","10","20","5","288","1","360.0","4.80","3.03","0.55",".272","75.1 %","","","3.05","3.71","","0.7","1006266"
"Juan Dominguez","Rangers","5","10","0","32","17","109.2","5.91","3.45","1.48",".291","73.7 %","43.9 %","13.6 %","4.60","5.11","4.66","0.7","1796"
"Vidal Nuno","- - -","8","21","0","155","42","377.0","7.45","2.51","1.55",".284","78.4 %","37.9 %","13.1 %","4.06","4.68","4.32","0.7","9674"
"Jackson Todd","Blue Jays","7","10","0","45","26","215.0","4.14","2.85","1.30",".270","71.2 %","","","4.27","4.68","","0.7","1013096"
"Raul Valdes","- - -","7","7","2","103","3","140.1","9.43","3.14","1.28",".312","68.1 %","30.2 %","10.4 %","5.13","4.03","3.97","0.7","1953"
"Steve Fireovid","- - -","3","1","0","31","5","71.2","3.39","2.39","0.38",".349","75.4 %","","","3.39","3.33","","0.7","1004063"
