"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"Dan Smith","- - -","7","12","2","87","17","177.1","7.21","4.11","1.47",".294","70.6 %","44.1 %","17.5 %","5.23","5.08","4.48","0.1","1521"
"Albert Suarez","Giants","3","8","1","40","12","115.2","6.85","2.88","1.17",".281","70.7 %","47.3 %","13.4 %","4.51","4.40","4.36","0.1","6175"
"Chris Mears","Tigers","1","3","5","29","3","41.1","4.57","2.40","1.09",".326","63.2 %","44.0 %","10.9 %","5.44","4.60","4.65","0.1","1756"
"Jeff Dedmon","- - -","20","16","12","250","3","394.0","4.80","4.25","0.69",".278","69.7 %","","","3.84","4.20","","0.1","1003132"
"Cody Reed","Reds","2","11","1","42","18","114.2","8.56","4.24","1.57",".327","67.7 %","57.6 %","23.3 %","5.42","5.09","4.09","0.1","15232"
"Williams Perez","Braves","9","9","1","34","31","170.1","5.28","3.49","1.06",".304","68.2 %","53.0 %","12.6 %","5.18","4.85","4.75","0.1","11592"
"Pedro Borbon","- - -","16","16","6","368","0","271.0","7.44","4.45","1.10",".281","70.3 %","28.3 %","16.0 %","4.68","4.67","4.76","0.1","1289"
"Keyvius Sampson","Reds","2","7","0","31","14","91.2","8.25","5.20","1.57",".320","68.1 %","38.8 %","13.4 %","5.60","5.38","5.13","0.1","10039"
"Evan Reed","Tigers","0","2","0","48","0","55.2","6.95","3.23","0.65",".352","65.6 %","54.4 %","8.9 %","4.20","3.78","3.89","0.1","1349"
"Jesse Foppert","Giants","8","9","0","27","23","122.1","8.02","6.03","1.32",".282","71.1 %","34.2 %","11.3 %","5.00","5.27","5.24","0.1","1688"
"Jose Cabrera","- - -","19","17","4","198","11","271.0","6.38","3.12","1.39",".294","70.0 %","33.5 %","14.3 %","4.95","4.84","5.25","0.1","679"
"Sean Gilmartin","- - -","4","5","0","79","3","107.2","7.11","3.26","1.17",".298","77.2 %","45.4 %","11.6 %","4.18","4.48","4.58","0.1","12781"
"Dilson Torres","Royals","1","2","0","24","2","44.1","5.68","3.45","1.22",".342","67.1 %","","","6.09","4.82","","0.1","1013128"
"Tyler Cloyd","- - -","5","9","0","27","17","112.0","6.83","3.38","1.45",".345","66.5 %","35.7 %","11.7 %","6.35","4.88","4.79","0.1","8536"
"Peter Lambert","Rockies","3","7","0","19","19","89.1","5.74","3.63","1.81",".333","64.1 %","47.3 %","20.7 %","7.25","5.97","5.29","0.1","17969"
"Jason Bulger","- - -","7","2","1","125","0","133.0","9.34","5.08","1.08",".285","73.1 %","40.5 %","11.6 %","4.33","4.39","4.17","0.1","3915"
"Will McEnaney","Cardinals","0","3","2","45","0","64.0","2.11","2.25","0.42",".247","70.5 %","","","2.95","3.72","","0.1","1008482"
"Pat Dean","Twins","1","6","0","19","9","67.1","6.68","3.07","1.74",".350","69.0 %","44.4 %","15.9 %","6.28","5.20","4.71","0.1","11350"
"Austin Bibens-Dirkx","Rangers","7","5","0","37","12","114.1","5.59","2.68","1.81",".292","73.7 %","38.0 %","15.5 %","5.27","5.63","5.26","0.1","9559"
"Brad Wieck","- - -","2","2","0","49","0","41.2","12.74","2.81","1.94",".250","66.9 %","30.9 %","18.4 %","4.97","4.33","3.80","0.1","16390"
"Stolmy Pimentel","- - -","2","2","0","33","0","53.1","9.11","3.54","1.01",".302","70.1 %","34.9 %","9.1 %","4.39","3.85","3.99","0.1","6415"
"Gene Harris","- - -","12","18","26","183","7","241.0","6.35","5.15","0.78",".296","67.9 %","","","4.71","4.40","","0.1","1005414"
"Cole Irvin","Phillies","2","1","1","16","3","41.2","6.70","2.81","1.51",".299","64.5 %","34.4 %","15.6 %","5.83","5.06","5.03","0.1","19244"
"Christian Bergman","- - -","11","15","0","71","25","215.2","5.43","2.04","1.67",".319","69.6 %","37.1 %","13.6 %","5.59","5.09","4.74","0.1","10925"
"Dave Patterson","Dodgers","4","1","6","36","0","53.0","5.77","3.74","0.85",".322","63.6 %","","","5.26","3.92","","0.1","1010060"
"Heath Fillmyer","Royals","4","4","0","29","16","104.2","6.19","3.78","1.46",".283","71.7 %","45.3 %","15.7 %","5.07","5.31","5.00","0.1","17466"
"Chris Waters","Orioles","4","5","0","16","12","76.1","4.48","4.01","1.41",".265","71.6 %","46.4 %","12.5 %","5.07","5.63","5.24","0.1","7015"
"John Costello","- - -","11","6","4","119","0","157.2","5.94","3.65","0.74",".263","76.9 %","","","2.97","3.82","","0.1","1002654"
"Josh Spence","Padres","0","3","0","51","0","40.0","9.23","5.40","0.68",".238","79.9 %","33.0 %","6.3 %","3.15","3.92","4.53","0.1","11260"
"Ryan O'Rourke","- - -","0","1","0","56","0","48.1","9.12","5.21","1.12",".233","64.1 %","42.3 %","11.1 %","4.84","4.53","4.69","0.1","10976"
"Esmerling Vasquez","- - -","5","12","0","147","6","168.2","7.15","5.28","0.75",".292","69.9 %","35.9 %","6.4 %","4.86","4.58","5.20","0.1","5280"
"Will Cunnane","- - -","13","12","3","184","12","274.0","7.69","4.20","1.25",".332","68.8 %","40.7 %","16.1 %","5.26","4.69","3.70","0.1","274"
"Paul Menhart","- - -","5","9","0","41","23","164.2","4.92","4.65","1.31",".279","67.4 %","","","5.47","5.62","","0.1","1008765"
"Rich Thompson","- - -","3","4","0","82","0","104.2","9.03","3.18","1.55",".296","79.0 %","38.1 %","14.3 %","4.21","4.38","3.67","0.1","6422"
"Bryan Clutterbuck","Brewers","2","6","0","34","11","124.0","4.86","2.32","1.38",".290","70.1 %","","","4.21","4.50","","0.1","1002365"
"Matt Ford","Brewers","0","3","0","25","4","43.2","5.36","4.33","1.03",".285","73.8 %","24.3 %","6.6 %","4.33","4.84","5.89","0.1","1674"
"Rocky Childress","- - -","2","3","0","61","1","107.2","5.43","3.09","0.84",".314","68.3 %","","","4.76","3.85","","0.1","1002189"
"Chris Bootcheck","- - -","3","7","1","91","3","148.1","6.43","4.00","1.15",".331","62.1 %","40.6 %","9.8 %","6.55","4.86","4.90","0.1","1842"
"Wesley Wright","- - -","10","18","2","372","4","307.0","8.65","3.96","1.11",".299","73.6 %","47.3 %","13.9 %","4.16","4.28","3.85","0.1","5960"
"Colten Brewer","- - -","2","2","0","69","0","64.1","8.67","5.74","0.84",".356","74.6 %","50.3 %","11.8 %","4.34","4.50","4.82","0.1","12997"
"Ken Cloude","Mariners","16","16","1","71","45","278.2","6.30","4.91","1.52",".320","65.4 %","","","6.56","5.68","","0.1","1002362"
"Onan Masaoka","Dodgers","3","5","1","83","0","93.2","8.46","5.96","0.96",".269","76.0 %","","","4.23","4.72","","0.1","1008209"
"Tony Arnold","Orioles","0","2","0","38","0","78.1","2.87","3.22","0.92",".314","66.2 %","","","5.06","4.68","","0.1","1000321"
"Eric Skoglund","Royals","2","11","0","27","22","109.0","5.53","3.30","1.57",".302","62.2 %","39.3 %","12.8 %","6.61","5.50","5.64","0.1","16155"
"John Verhoeven","Twins","3","4","0","69","0","151.2","3.44","2.55","0.83",".288","68.9 %","","","3.98","4.08","","0.1","1013414"
"Drew Hall","- - -","9","12","5","125","4","195.1","6.82","4.38","0.92",".283","63.1 %","","","5.21","4.13","","0.1","1005242"
"Luke Prokopec","- - -","11","17","0","56","37","231.0","5.61","2.88","1.87",".279","71.0 %","34.1 %","15.1 %","5.30","5.61","5.59","0.1","1320"
"Steven Okert","Giants","1","1","0","70","0","48.1","8.19","2.79","1.12",".267","69.8 %","34.8 %","9.4 %","4.28","4.07","4.74","0.0","13580"
"Allan Ramirez","Orioles","4","4","0","11","10","57.0","3.16","4.74","0.95",".226","79.9 %","","","3.47","5.00","","0.0","1010667"
"Mark Fidrych","Tigers","2","6","0","13","13","59.0","3.20","4.42","1.22",".320","59.5 %","","","6.86","5.37","","0.0","1004023"
"Luke Putkonen","Tigers","1","5","1","44","0","48.1","7.26","3.54","1.12",".322","73.6 %","52.9 %","12.2 %","4.66","4.31","4.10","0.0","6736"
"Michael Tonkin","Twins","3","3","0","141","0","146.1","9.16","3.32","1.54",".317","70.2 %","39.9 %","15.6 %","4.43","4.57","4.08","0.0","10315"
"Calvin Jones","Mariners","5","7","2","65","1","108.0","7.58","6.33","0.67",".258","72.3 %","","","4.33","4.29","","0.0","1006534"
"Aneury Rodriguez","Astros","1","6","0","44","9","91.1","6.90","3.35","1.48",".259","62.0 %","26.6 %","10.3 %","5.12","4.81","4.71","0.0","8948"
"Mario Hollands","Phillies","2","2","0","50","0","47.0","6.70","4.02","0.57",".292","66.9 %","51.8 %","7.5 %","4.40","3.88","4.10","0.0","10504"
"Chris O'Grady","Marlins","2","2","0","21","6","40.0","8.55","4.95","1.35",".309","76.9 %","31.9 %","12.0 %","4.73","4.93","5.17","0.0","13818"
"Adam Pettyjohn","- - -","1","7","0","19","10","69.0","5.35","3.00","1.57",".336","61.1 %","9.1 %","20.0 %","6.65","5.34","8.18","0.0","489"
"Mike Cather","Braves","5","6","0","75","0","81.2","6.83","3.53","1.10",".245","75.3 %","","","3.42","4.52","","0.0","1002082"
"Kevin Quackenbush","- - -","13","15","8","203","0","207.2","8.06","3.55","1.04",".287","71.4 %","39.2 %","10.6 %","4.38","4.09","4.27","0.0","12360"
"Dylan Covey","White Sox","6","29","0","63","45","250.1","6.22","4.10","1.62",".305","61.6 %","50.0 %","18.5 %","6.54","5.57","4.96","0.0","14825"
"Shawn Sedlacek","Royals","3","5","0","16","14","84.1","5.55","3.84","1.71",".306","64.9 %","39.6 %","14.3 %","6.72","5.69","5.06","0.0","1519"
"Frank Eufemia","Twins","4","2","2","39","0","61.2","4.38","3.06","1.02",".255","74.4 %","","","3.79","4.21","","0.0","1003852"
"Robert Ramsay","Mariners","1","3","0","43","4","68.2","5.64","6.42","0.79",".283","75.3 %","","","4.19","5.20","","0.0","1010682"
"Zach Neal","- - -","2","4","2","31","6","85.2","3.89","0.74","1.58",".268","65.0 %","50.3 %","15.2 %","4.94","4.84","4.52","0.0","11294"
"Clay Rapada","- - -","8","0","0","152","0","93.0","7.94","4.94","0.97",".264","73.0 %","43.3 %","10.9 %","4.06","4.44","4.36","0.0","4831"
"Joe Fontenot","Marlins","0","7","0","8","8","42.2","5.06","4.22","1.05",".340","63.5 %","","","6.33","5.30","","0.0","1004206"
"Jose Torres","Padres","7","4","1","66","0","71.1","8.33","2.27","1.64",".269","77.4 %","34.8 %","13.7 %","4.04","4.60","4.59","0.0","14957"
"Rosman Garcia","Rangers","1","2","0","50","0","53.0","5.09","4.75","0.85",".345","67.4 %","45.5 %","9.1 %","5.94","4.83","5.11","0.0","1691"
"John Dettmer","Rangers","0","6","0","12","9","54.1","4.47","3.31","1.66",".284","60.8 %","","","4.47","5.80","","0.0","1003236"
"Caleb Ferguson","Dodgers","8","4","2","75","5","93.2","10.86","3.75","1.44",".291","76.2 %","42.1 %","18.8 %","4.13","4.39","3.87","0.0","19349"
"Roy Corcoran","- - -","8","3","3","82","0","110.0","4.66","5.32","0.33",".302","70.6 %","62.2 %","4.8 %","4.17","4.41","4.97","0.0","1780"
"Eric Hetzel","Red Sox","3","7","0","21","19","85.1","5.59","5.17","1.05",".314","61.6 %","","","6.12","4.89","","0.0","1005754"
"David Lundquist","- - -","1","2","0","37","0","44.1","7.51","4.87","0.81",".364","56.9 %","23.1 %","0.0 %","7.92","4.42","12.83","0.0","1046"
"Dane Johnson","- - -","6","2","2","63","0","67.0","7.66","6.31","0.81",".317","71.4 %","","","4.70","4.78","","0.0","1006443"
"Todd Williams","- - -","12","14","2","227","0","232.2","4.49","3.37","0.89",".299","71.8 %","63.5 %","13.9 %","4.33","4.68","4.25","0.0","805"
"Steve Busby","Royals","7","9","0","33","18","136.2","3.75","5.47","0.86",".261","71.1 %","","","4.41","5.01","","0.0","1001745"
"J.D. Martin","Nationals","6","9","0","24","24","125.0","4.90","2.52","1.66",".281","74.9 %","36.9 %","11.9 %","4.32","5.40","4.98","0.0","3685"
"German Gonzalez","Twins","3","2","1","38","0","50.1","7.87","3.40","1.07",".303","75.4 %","","","4.11","4.00","","0.0","1004834"
"Jayson Durocher","Brewers","3","1","0","45","0","55.1","8.30","3.74","1.14",".210","76.6 %","37.3 %","11.5 %","3.09","4.18","4.08","0.0","1497"
"John Hope","Pirates","1","5","0","24","11","73.2","3.54","3.30","0.98",".311","60.1 %","","","5.99","5.16","","0.0","1006011"
"Jeff Heathcock","Astros","9","9","3","56","13","158.0","3.65","2.39","0.91",".246","66.6 %","","","3.76","4.14","","0.0","1005561"
"Scott Mathieson","Phillies","1","4","0","15","8","44.0","6.95","4.30","1.64",".358","62.8 %","36.8 %","13.3 %","6.75","5.58","5.11","0.0","4771"
"Neil Wagner","- - -","2","4","0","52","0","53.0","7.30","3.40","1.19",".311","67.0 %","40.0 %","13.0 %","4.92","4.46","4.08","0.0","8162"
"Jerry Ujdur","- - -","12","16","0","53","40","261.2","4.06","3.78","1.48",".262","70.8 %","","","4.78","5.30","","0.0","1013269"
"Keith Brown","Reds","2","2","0","25","5","47.2","4.34","3.40","0.94",".295","79.0 %","","","3.40","4.33","","0.0","1001534"
"Jose Ruiz","- - -","1","4","0","47","1","45.1","8.34","5.56","1.39",".375","76.4 %","37.8 %","11.9 %","5.36","5.35","5.89","0.0","14552"
"Mike O'Connor","- - -","4","10","0","35","21","120.2","5.30","4.40","1.34",".250","67.0 %","35.9 %","10.4 %","5.30","5.57","5.62","0.0","6457"
"Michael Ynoa","White Sox","2","0","0","45","0","59.0","8.08","5.95","0.61",".260","70.0 %","36.8 %","5.4 %","4.42","4.73","6.01","0.0","14093"
"Greg Burke","- - -","3","6","0","80","0","77.1","7.10","4.42","0.81",".332","66.6 %","49.4 %","8.9 %","4.77","4.19","4.37","0.0","6282"
"Mike Butcher","Angels","11","4","9","115","0","137.0","6.31","5.39","0.92",".278","72.2 %","","","4.47","4.90","","0.0","1001764"
"Robert Ellis","- - -","7","7","0","29","21","118.0","4.12","3.66","1.53",".290","67.5 %","26.5 %","21.6 %","6.03","5.69","6.38","0.0","649"
"Mike Matthews","- - -","14","10","1","230","10","243.2","6.46","4.47","1.07",".283","73.2 %","41.9 %","10.2 %","4.54","4.79","5.01","0.0","1170"
"Dan Meyer","- - -","3","9","2","103","7","113.2","7.28","4.51","1.27",".296","62.6 %","31.3 %","8.7 %","5.46","4.92","5.18","0.0","4402"
"Lucas Luetge","Mariners","3","5","2","111","0","89.0","7.48","4.75","0.81",".300","71.1 %","47.7 %","10.8 %","4.35","4.27","4.26","0.0","8337"
"Grant Dayton","- - -","1","3","0","68","0","62.0","10.60","3.19","1.89",".221","86.4 %","30.7 %","15.9 %","3.34","4.65","4.28","0.0","11203"
"Tony Mounce","Rangers","1","5","0","11","11","50.2","5.33","4.44","1.60",".331","64.3 %","36.2 %","13.8 %","7.11","5.93","5.49","0.0","1739"
"Ramon Garcia","- - -","17","16","5","95","37","312.2","5.76","2.99","1.44",".282","70.5 %","","","4.84","5.02","","0.0","1004511"
"Joel Adamson","- - -","5","6","0","44","11","110.1","6.28","3.02","1.55",".298","71.9 %","","","4.89","5.22","","0.0","1000056"
"Jeff Bronkey","- - -","2","2","2","45","0","69.0","4.70","3.78","0.91",".294","72.2 %","","","4.04","4.63","","0.0","1001468"
"Marcos Carvajal","- - -","0","2","0","42","0","57.0","7.74","3.63","1.26",".306","69.5 %","49.4 %","13.8 %","5.21","4.51","4.07","0.0","3216"
"Toby Borland","- - -","11","9","8","207","0","269.2","7.04","4.87","0.77",".293","71.7 %","43.1 %","13.6 %","4.17","4.49","4.95","0.0","511"
"Kevin Wickander","- - -","5","1","2","150","0","138.2","6.56","5.52","0.78",".319","76.6 %","","","4.02","4.64","","0.0","1013915"
"Troy Brohawn","- - -","4","4","1","82","0","66.2","6.21","3.78","1.08",".298","71.3 %","22.9 %","12.5 %","4.86","4.61","4.36","0.0","1110"
"Dennis Powell","- - -","11","22","3","207","23","339.2","5.27","4.21","0.93",".296","68.5 %","","","4.95","4.49","","0.0","1010484"
"Brian Wolfe","Blue Jays","5","5","0","72","0","82.2","5.12","2.40","1.31",".265","75.7 %","52.3 %","14.3 %","3.81","4.84","4.26","0.0","8515"
"Brian Barber","- - -","5","8","1","26","16","93.0","5.71","4.35","1.45",".318","64.8 %","","","6.77","5.54","","0.0","1000525"
"Alay Soler","Mets","2","3","0","8","8","45.0","4.60","4.20","1.40",".276","62.7 %","41.5 %","10.8 %","6.00","5.61","5.62","0.0","8542"
"Brian Rose","- - -","15","23","0","68","54","284.1","4.78","3.48","1.77",".286","68.2 %","","","5.86","5.89","","0.0","1011201"
"Hunter Cervenka","- - -","1","0","0","73","0","48.0","9.00","6.75","0.56",".250","65.9 %","46.5 %","7.1 %","4.69","4.40","5.05","0.0","10510"
"Eduardo Sanchez","- - -","3","3","5","47","0","51.1","9.29","5.96","0.70",".213","75.3 %","34.7 %","6.6 %","3.68","4.22","4.79","0.0","2966"
"Aaron Crow","Royals","20","11","6","254","0","233.2","8.01","3.81","1.08",".283","78.5 %","49.2 %","13.7 %","3.43","4.16","3.77","0.0","10149"
"Tanner Scheppers","Rangers","12","7","3","180","4","183.0","7.28","3.54","1.18",".297","74.1 %","46.9 %","12.5 %","4.23","4.61","4.39","0.0","10267"
"Jon Adkins","- - -","5","5","0","119","0","138.2","5.26","3.50","1.17",".306","73.6 %","42.4 %","10.9 %","4.54","4.88","4.88","0.0","1799"
"Hector Almonte","- - -","1","4","0","50","0","51.2","6.97","5.23","1.05",".345","68.1 %","43.1 %","12.2 %","6.27","4.88","5.04","0.0","1729"
"Mike Busby","Cardinals","5","6","0","45","6","82.0","5.49","4.06","1.21",".318","61.4 %","","","6.48","5.31","","0.0","1001743"
"Ramon Troncoso","- - -","9","12","6","204","0","227.1","6.29","3.33","0.83",".310","71.5 %","54.6 %","10.8 %","4.00","4.13","4.03","0.0","4685"
"Jo-Jo Reyes","- - -","13","26","0","72","62","337.0","5.74","3.93","1.44",".317","64.1 %","44.2 %","13.5 %","6.06","5.32","4.75","0.0","5559"
"Gary Serum","Twins","1","3","0","20","5","64.0","4.36","2.81","1.41",".367","66.7 %","","","6.61","4.73","","0.0","1011755"
"Gabriel Moya","Twins","3","1","1","42","6","42.2","7.59","3.16","1.69",".256","75.9 %","38.3 %","14.3 %","4.64","5.04","4.80","0.0","16348"
"Alex Burnett","- - -","8","11","0","177","0","172.1","5.64","3.76","0.73",".297","68.6 %","48.6 %","7.6 %","4.70","4.35","4.72","0.0","4065"
"Joe Edelen","- - -","2","0","0","27","0","45.1","5.16","2.18","0.99",".327","55.7 %","","","6.75","3.72","","0.0","1003666"
"Paul Reuschel","Indians","2","1","1","17","1","45.1","4.37","2.18","1.39",".384","55.3 %","","","7.94","4.50","","0.0","1010851"
"Dennis Lewallyn","- - -","0","2","0","22","0","41.2","3.46","2.59","0.86",".325","62.5 %","","","6.05","4.10","","0.0","1007572"
"Domingo Jean","Yankees","1","1","0","10","6","40.1","4.46","4.24","1.56",".231","77.9 %","","","4.46","5.67","","0.0","1006374"
"Preston Hanna","- - -","8","6","0","101","10","223.1","4.88","5.76","0.48",".296","72.4 %","","","4.27","4.30","","0.0","1005318"
"Donnie Veal","- - -","3","3","1","105","0","69.0","9.52","6.39","1.04",".299","69.7 %","45.2 %","11.6 %","5.48","4.78","4.63","0.0","4741"
"Brian Sikorski","- - -","4","5","0","40","5","71.2","8.79","4.02","2.13",".313","71.6 %","29.5 %","17.4 %","5.40","5.69","3.52","0.0","7603"
"Edgar Gonzalez","- - -","17","27","0","121","47","368.0","5.80","3.18","1.59",".315","68.4 %","41.0 %","13.2 %","5.92","5.38","4.88","0.0","1727"
"Jim Pena","Giants","1","1","0","25","2","44.0","6.55","4.09","0.82",".306","79.2 %","","","3.48","3.94","","0.0","1010147"
"Leonel Campos","- - -","1","0","0","38","0","43.2","10.10","5.56","1.03",".301","65.6 %","44.0 %","10.9 %","4.74","4.38","4.63","0.0","12277"
"Dan Larson","- - -","4","10","0","32","20","132.1","4.28","4.49","0.88",".290","69.9 %","","","4.28","4.60","","0.0","1007361"
"Ryan Mattheus","- - -","9","11","0","203","0","198.1","5.26","3.22","0.59",".303","73.0 %","52.1 %","7.8 %","3.72","3.97","4.29","0.0","7169"
"Warner Madrigal","Rangers","0","2","1","44","1","48.2","4.99","4.81","1.11",".298","62.0 %","33.7 %","8.1 %","6.10","5.28","5.68","0.0","6419"
"Craig Skok","Braves","1","3","2","44","0","54.1","4.97","2.82","1.16",".291","76.3 %","","","3.98","4.41","","0.0","1012041"
"Mark Acre","Athletics","9","6","2","114","0","127.0","6.94","4.82","1.13",".301","71.7 %","","","5.17","4.94","","0.0","1000037"
"Jonathan Albaladejo","- - -","6","3","0","66","0","76.2","6.57","3.76","1.17",".295","74.5 %","49.1 %","13.9 %","4.34","4.89","4.42","0.0","3521"
"Brian Shackelford","Reds","2","0","0","63","0","46.0","6.26","3.72","1.17",".248","76.4 %","40.9 %","9.5 %","4.11","5.13","5.34","0.0","2461"
"Jhan Marinez","- - -","1","5","0","103","0","134.0","6.85","4.10","0.81",".314","78.1 %","49.9 %","10.4 %","3.56","4.45","4.75","0.0","5830"
"Wilmer Font","- - -","6","8","0","75","22","135.1","8.98","3.66","2.06",".279","75.2 %","38.5 %","17.7 %","5.32","5.48","4.89","0.0","5257"
"Steve Baker","- - -","5","12","6","69","16","173.2","4.77","4.40","1.04",".302","67.6 %","","","5.34","4.80","","0.0","1000467"
"Phil Norton","- - -","2","6","0","92","2","92.1","5.95","5.26","0.97",".296","68.4 %","55.8 %","7.8 %","5.07","4.96","4.58","0.0","1714"
"John Flinn","- - -","4","1","2","29","1","53.1","4.72","4.05","0.67",".244","73.0 %","","","3.04","4.02","","0.0","1004161"
"Bryan Ward","- - -","1","3","1","95","0","93.2","6.34","2.69","1.63",".323","69.6 %","","","5.09","4.98","","0.0","1013603"
"Steve Schmoll","Dodgers","2","2","3","48","0","46.2","5.59","4.24","0.77",".293","64.8 %","44.8 %","8.3 %","5.01","4.50","4.80","0.0","5495"
"Mike Neu","- - -","0","0","1","33","0","46.0","4.30","5.48","0.59",".287","78.6 %","52.9 %","6.8 %","3.72","4.88","5.42","0.0","1685"
"Mike Barlow","- - -","4","2","5","87","1","156.0","3.29","3.29","0.75",".309","67.6 %","","","4.67","4.37","","0.0","1000553"
"Graham Godfrey","Athletics","1","6","0","10","8","46.0","4.50","2.93","1.37",".317","67.0 %","37.2 %","10.3 %","5.09","5.27","5.30","0.0","3128"
"Jim Wright","Royals","2","3","0","24","4","75.2","4.28","3.21","0.95",".306","74.0 %","","","4.04","4.21","","0.0","1014284"
"Mike Burns","- - -","3","5","0","60","8","103.2","6.51","2.52","1.56",".329","67.5 %","39.5 %","13.7 %","5.82","4.97","4.41","0.0","2932"
"Steve Rain","Cubs","3","5","0","53","0","64.1","9.23","4.76","1.54",".350","71.9 %","","","5.46","4.98","","0.0","1010657"
"Gregory Soto","Tigers","0","5","0","33","7","57.2","7.02","5.15","1.40",".344","72.0 %","47.7 %","13.6 %","5.77","5.40","5.65","-0.1","19677"
"Jonathan Johnson","- - -","2","4","0","42","4","77.1","7.91","6.17","1.05",".354","66.0 %","30.1 %","9.5 %","6.63","5.23","5.18","-0.1","59"
"Jim Otten","Cardinals","1","5","0","55","4","91.0","5.74","4.55","0.59",".360","66.0 %","","","5.44","3.86","","-0.1","1009901"
"Randy Bockus","- - -","2","1","0","39","0","61.2","4.82","3.65","0.73",".303","67.1 %","","","4.23","4.05","","-0.1","1001110"
"Johnny Ruffin","- - -","10","6","3","139","0","196.0","7.48","4.27","1.15",".285","73.9 %","","","4.13","4.59","","-0.1","1011295"
"Steve Rosenberg","- - -","6","15","1","87","21","209.2","4.94","3.73","1.03",".289","65.5 %","","","4.94","4.42","","-0.1","1011215"
"Erik Schullstrom","Twins","0","0","1","46","0","60.0","5.10","4.05","1.20",".336","67.2 %","","","6.00","5.16","","-0.1","1011630"
"Hilly Hathaway","Angels","4","3","0","13","12","63.0","1.71","4.14","1.00",".314","70.7 %","","","5.29","5.65","","-0.1","1005492"
"Cory Rasmus","- - -","4","5","0","84","8","123.0","8.85","4.17","1.32",".265","75.1 %","34.9 %","10.8 %","4.17","4.49","4.49","-0.1","2413"
"Bruce Robbins","Tigers","7","5","0","25","14","97.2","4.15","4.52","1.38",".276","69.9 %","","","5.34","5.32","","-0.1","1011019"
"Kirt Ojala","Marlins","3","10","0","56","19","164.1","5.42","4.55","1.04",".295","69.9 %","","","4.71","5.02","","-0.1","1009755"
"Austin Davis","Phillies","1","2","0","46","0","55.1","10.08","4.23","1.63",".322","71.6 %","39.0 %","17.5 %","5.04","4.97","4.46","-0.1","17117"
"Jason Adam","- - -","3","3","0","54","0","54.0","9.17","4.17","1.67",".255","74.2 %","25.2 %","12.5 %","4.83","5.27","5.51","-0.1","11861"
"Dan Naulty","- - -","5","5","5","130","0","160.2","6.67","4.31","1.34",".246","71.6 %","","","4.54","5.12","","-0.1","1009464"
"Simon Castro","- - -","3","4","0","41","0","54.0","8.33","3.67","1.33",".278","71.7 %","35.1 %","12.1 %","4.50","4.66","4.80","-0.1","9243"
"Brian Schlitter","- - -","3","6","0","84","0","81.1","5.31","3.32","0.66",".337","66.6 %","57.0 %","9.7 %","5.20","4.13","4.19","-0.1","3599"
"Phil Klein","- - -","2","3","0","40","4","55.2","8.73","4.69","1.46",".308","69.4 %","38.7 %","13.4 %","5.50","5.02","4.69","-0.1","12675"
"Bobby Keppel","- - -","1","5","0","49","6","92.1","5.17","3.80","1.07",".332","71.7 %","47.3 %","11.3 %","5.36","4.98","4.85","-0.1","2229"
"Doug Slaten","- - -","7","8","0","216","0","150.2","6.57","4.00","0.90",".298","75.8 %","44.4 %","8.0 %","3.52","4.48","4.77","-0.1","3107"
"Bob Tufts","- - -","2","0","2","27","0","42.0","6.00","3.00","1.07",".359","71.0 %","","","4.71","4.04","","-0.1","1013217"
"Sean Douglass","- - -","7","13","0","54","31","207.2","6.72","4.90","1.47",".300","65.7 %","42.5 %","14.6 %","6.11","5.40","4.87","-0.1","133"
"Drew Rucinski","- - -","4","4","0","41","1","54.0","7.33","3.83","0.83",".345","65.9 %","48.0 %","8.8 %","5.33","4.34","4.80","-0.1","12499"
"Frank Herrmann","- - -","5","3","1","109","0","135.1","5.72","2.26","1.40",".297","69.4 %","33.3 %","10.3 %","4.72","4.63","4.60","-0.1","7960"
"Silvino Bracho","Diamondbacks","2","2","1","91","0","88.2","9.44","3.35","1.62",".284","72.6 %","32.8 %","13.4 %","4.67","4.75","4.64","-0.1","15051"
"Alex Madrid","- - -","2","3","0","14","5","46.1","3.11","4.08","0.78",".310","67.2 %","","","5.63","4.63","","-0.1","1007958"
"Brian Bruney","- - -","19","12","13","273","1","259.2","8.73","6.48","0.94",".294","73.7 %","35.9 %","8.5 %","4.68","4.82","5.08","-0.1","1929"
"Steve Bourgeois","Giants","1","3","0","15","5","40.0","3.83","4.73","0.90",".368","63.0 %","","","6.30","5.50","","-0.1","1001237"
"Willie Eyre","- - -","7","8","1","111","2","163.2","4.73","3.57","0.99",".300","70.1 %","44.6 %","8.8 %","4.95","4.86","5.09","-0.1","2078"
"Benj Sampson","Twins","4","2","0","35","6","88.1","7.34","4.08","1.73",".355","67.1 %","","","6.83","5.40","","-0.1","1011397"
"Sergio Valdez","- - -","12","20","0","116","31","302.2","5.65","3.24","1.37",".293","66.0 %","","","5.06","4.73","","-0.1","1013320"
"Andy Good","- - -","5","4","0","35","12","112.0","6.03","2.41","1.93",".276","70.5 %","36.3 %","15.7 %","5.30","5.45","4.63","-0.1","1690"
"Mike Campbell","- - -","12","19","0","51","41","233.1","5.21","3.66","1.70",".263","62.0 %","","","5.86","5.41","","-0.1","1001887"
