year,name,reason,player_id,player_name,lg,tm,first,last,use,b_p,c,1b,2b,3b,ss,lf,cf,rf
2020,Jose Martinez,No MLB PlayerStatSeason found for 2020,33188,Jose Martinez,,TB,Jose,Martinez-1,MIX,B,,5,,,,,,
2020,Isiah Kiner,No player found,,,,TE,Isiah,Kiner-Falefa,REG,B,,,,1(B2),3,,,
2020,Jose Martinez,No MLB PlayerStatSeason found for 2020,33188,Jose Martinez,,CC,Jose,Martinez-2,ADD,B,,,,,,,,
2020,Christian Colon,No MLB PlayerStatSeason found for 2020,40003,Christian Colon,,CN,Christian,Colon,ADD,B,,4,3,,,,,
2020,Jose Garcia,No MLB PlayerStatSeason found for 2020,22703,Jose A. Garcia,,CN,Jose ,Garcia,REG,B,,,,,3,,,
2020,Kike Hernandez,No player found,,,,LD,Kike,Hernandez,REG,B,,4,2(B3),,4,2,3,2
2020,Juan Soto,No MLB PlayerStatSeason found for 2020,25780,Juan Soto,,WN,Juan,Soto,REG,B,,,,,,3,,3
2021,D.J. Stewart,No MLB PlayerStatSeason found for 2021,23531,D.J. Stewart,AL,BO,D.J.,Stewart,REG,BAT,,,,,,4,,4
2021,Kike Hernandez,No player found,,,AL,BR,Kike,Hernandez,REG,BAT,,,3,,4,,2,
2021,Luis Gonzalez,No MLB PlayerStatSeason found for 2021,37736,Luis Gonzalez,AL,CH,Luis,Gonzalez,COMP,BAT,,,,,,4,,4
2021,Cesar Hernandez,No MLB PlayerStatSeason found for 2021,37050,Cesar Hernandez,AL,CH,Cesar,Hernandez,REG,BAT,,,3,,4,,,
2021,Jose Ramirez,No MLB PlayerStatSeason found for 2021,38959,Jose Ramirez,AL,CI,Jose,Ramirez,REG,BAT,,,,1(B2),,,,
2021,Jose Rojas,No MLB PlayerStatSeason found for 2021,38197,Jose Rojas,AL,LA,Jose,Rojas-1,REG,BAT,,4,4,4,4,,,4
2021,Eric Campbell,No player found,,,AL,SM,Eric,Campbell,COMP,BAT,,4,,4,,,,
