"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR","playerid","mlbamid"
"Tyler Lyons","- - -","13","12","3","162","20","282.2","9.20","2.87","1.27",".286","70.9%","40.8%","14.1%","90.8","4.30","","4.06","3.77","1.5","11334","544928"
"Peter Moylan","- - -","24","10","4","499","0","418.2","6.96","3.87","0.64",".280","75.8%","60.8%","10.7%","90.6","3.10","","3.97","3.99","1.5","4891","493247"
"Aaron Barrett","WSN","6","3","0","95","0","74.0","10.46","4.01","0.36",".333","66.8%","44.0%","5.1%","94.3","4.01","","2.88","3.47","1.4","11243","502578"
"Armando Reynoso","ARI","12","18","0","42","39","219.0","4.36","2.71","1.44",".281","67.4%","33.3%","0.0%","","5.47","","5.27","4.03","1.4","72","121117"
"Scott Effross","- - -","3","5","4","77","1","74.2","9.88","2.17","0.72",".288","69.7%","45.9%","8.7%","90.9","2.89","","2.86","3.23","1.4","18384","664123"
"Jaime Barria","LAA","22","32","0","134","62","462.2","6.83","2.94","1.61",".277","74.8%","37.7%","13.7%","92.0","4.38","","5.08","5.01","1.4","18356","642545"
"Mitch White","- - -","4","12","0","71","22","185.0","7.54","3.55","1.02",".299","61.0%","41.8%","9.6%","94.0","5.25","","4.19","4.58","1.4","19225","669952"
"Jorge Lopez","- - -","24","43","31","282","58","533.0","7.90","3.55","1.40",".315","69.2%","49.4%","16.8%","95.0","5.25","","4.87","4.47","1.4","14527","605347"
"Jorge Sosa","- - -","44","53","7","294","90","772.2","5.72","4.12","1.30",".278","71.5%","35.6%","10.4%","92.7","4.72","","5.10","5.13","1.4","1228","407901"
"Sun-Woo Kim","- - -","13","13","0","118","38","337.0","5.64","3.39","1.18",".317","69.4%","45.6%","13.3%","","5.31","","4.85","4.65","1.4","197","279615"
"Santiago Casilla","- - -","42","31","144","655","0","645.1","8.13","3.86","0.81",".276","78.1%","47.6%","9.5%","95.0","3.29","","3.94","4.12","1.4","2873","433586"
"Willis Roberts","- - -","17","15","7","147","18","258.1","6.24","3.90","0.94",".303","72.0%","47.9%","9.1%","","4.60","","4.57","4.81","1.4","167","150199"
"Victor Arano","- - -","4","3","4","116","0","116.2","9.57","2.70","0.93",".308","72.6%","44.0%","10.3%","94.0","3.32","","3.39","3.67","1.4","15915","644364"
"Joey Eischen","MON","10","7","3","253","0","205.2","7.66","4.07","0.74",".300","73.9%","52.3%","9.5%","","3.37","","3.96","3.89","1.4","774","113784"
"Darren Holmes","- - -","3","5","2","121","0","116.0","8.46","2.48","1.09",".328","70.0%","38.1%","7.7%","","4.58","","3.64","3.38","1.4","95","116100"
"John Rocker","- - -","8","14","48","159","0","145.0","11.54","6.52","0.87",".325","72.6%","40.5%","21.7%","","4.22","","4.09","3.87","1.4","1273","132340"
"Ryan Borucki","- - -","14","9","0","148","21","221.1","7.40","3.29","1.10",".278","70.5%","47.5%","11.9%","82.4","4.23","","4.35","4.49","1.4","16350","621366"
"Austin Voth","- - -","17","19","0","207","39","360.1","8.57","3.22","1.52",".293","72.2%","34.4%","13.5%","93.2","4.70","","4.68","4.59","1.4","15047","608723"
"Colin Holderman","- - -","8","9","2","137","0","135.2","9.15","3.91","0.66",".295","72.3%","45.7%","7.6%","97.0","3.58","","3.66","4.21","1.4","22361","670059"
"Jamie Walker","- - -","16","17","12","489","0","381.2","6.58","2.05","1.46",".276","77.2%","34.8%","11.3%","87.1","3.73","","4.52","4.39","1.4","502","123828"
"Tim Hill","- - -","20","14","4","382","0","322.1","6.67","2.88","0.84",".300","67.6%","61.8%","13.6%","91.3","3.99","","4.11","4.04","1.4","16814","657612"
"Rich Garces","BOS","14","3","2","152","0","163.0","7.51","3.31","0.94",".262","69.5%","39.1%","16.7%","","4.09","","4.02","5.14","1.4","189","114581"
"David Hale","- - -","13","12","3","118","23","273.2","6.12","2.86","1.05",".311","71.9%","50.0%","12.0%","92.1","4.44","","4.35","4.34","1.4","9756","571735"
"Sam Moll","- - -","7","6","1","190","1","160.1","9.37","4.15","0.73",".275","75.8%","48.9%","8.7%","93.6","3.42","","3.80","4.24","1.4","14874","594580"
"Shane Baz","TBR","7","5","0","23","23","119.2","8.80","2.93","1.28",".238","79.9%","40.4%","12.8%","95.9","3.38","","4.15","4.00","1.4","22264","669358"
"Bud Smith","STL","7","8","0","27","24","132.2","5.49","3.12","1.09",".300","67.4%","39.5%","6.2%","","4.95","","4.50","5.49","1.4","1182","406873"
"Matt Bush","- - -","12","11","15","217","6","211.0","9.68","3.07","1.41",".267","72.5%","39.8%","14.5%","97.3","3.75","","4.19","3.94","1.4","1246","456713"
"Dillon Tate","- - -","7","14","9","190","0","215.2","7.09","2.71","0.79",".271","67.9%","56.4%","11.7%","95.1","4.09","","3.98","4.08","1.4","17796","622253"
"Aquilino Lopez","- - -","6","6","15","159","0","207.1","7.25","3.56","1.00",".284","76.2%","36.7%","8.3%","91.2","3.78","","4.26","4.65","1.4","1671","425658"
"Jose Silva","- - -","15","12","0","89","19","191.1","5.97","3.25","1.18",".331","65.7%","43.8%","9.7%","","5.60","","4.68","5.97","1.4","354","122231"
"Cody Stashak","MIN","4","1","0","55","1","72.0","10.38","1.75","1.00",".330","71.6%","27.2%","7.7%","91.4","4.13","","2.98","4.16","1.4","18088","664054"
"Justus Sheffield","- - -","12","12","0","48","33","186.0","7.50","4.35","1.11",".335","68.4%","49.5%","13.2%","92.9","5.47","","4.77","4.87","1.4","17285","656954"
"Will Ohman","- - -","12","16","3","483","0","353.0","8.57","4.05","1.07",".284","73.8%","40.7%","10.8%","90.6","4.28","","4.28","4.16","1.4","296","349193"
"Taylor Cole","- - -","7","6","0","57","8","88.2","9.14","3.76","0.51",".332","64.2%","49.4%","8.6%","93.2","4.97","","3.35","3.83","1.4","11964","518566"
"Jason Bergmann","WSN","12","24","0","155","50","389.2","6.91","3.53","1.50",".285","68.7%","31.8%","11.5%","90.6","5.04","","5.08","4.81","1.3","4640","456589"
"Juan Minaya","- - -","9","5","10","160","0","178.0","9.91","4.60","0.91",".295","77.5%","39.3%","9.5%","94.7","3.69","","4.08","4.64","1.3","10341","573668"
"Blake Beavan","SEA","16","20","0","54","44","293.0","4.21","1.44","1.41",".283","73.2%","37.2%","11.0%","91.0","4.61","","4.80","4.73","1.3","338","518444"
"Josh Sborz","- - -","13","13","1","154","1","163.1","10.63","3.80","1.27",".304","66.2%","41.9%","14.5%","96.7","4.96","","3.95","3.76","1.3","18323","622250"
"John Snyder","MIL","3","10","0","23","23","127.0","4.89","5.46","0.57",".321","62.2%","","","","6.17","","4.90","","1.3","1012253","122511"
"Zach Jackson","OAK","4","4","4","73","0","66.0","12.27","5.86","0.27",".303","74.8%","26.6%","2.6%","94.3","2.86","","2.86","4.23","1.3","19493","667427"
"David Huff","- - -","25","30","0","120","57","393.1","5.35","3.02","1.35",".306","66.7%","38.8%","10.8%","91.1","5.17","","4.91","4.77","1.3","4257","453307"
"David Carpenter","- - -","11","11","4","222","0","214.2","9.14","3.27","0.92",".321","76.2%","38.9%","9.7%","95.8","3.69","","3.66","3.75","1.3","3959","502304"
"Lance Davis","CIN","8","4","0","20","20","106.1","4.49","2.88","1.02",".310","69.6%","","","","4.74","","4.51","","1.3","1003065","406876"
"Jose Cisnero","- - -","13","17","6","270","0","275.0","9.56","4.52","1.01",".313","71.4%","40.7%","10.7%","95.7","4.16","","4.23","4.52","1.3","6399","542585"
"Scott Richmond","TOR","9","14","0","36","29","169.0","7.40","3.25","1.60",".304","69.8%","34.4%","13.0%","91.8","5.27","","4.88","4.37","1.3","4307","446341"
"Chase Whitley","- - -","7","6","2","75","17","167.2","7.25","2.31","1.07",".307","68.7%","41.1%","10.0%","90.7","4.56","","4.01","4.27","1.3","10982","595032"
"Mike Venafro","- - -","12","8","5","242","0","185.0","4.57","3.50","0.54",".302","69.3%","54.8%","11.5%","","4.38","","4.27","4.61","1.3","943","150291"
"Alec Mills","- - -","12","14","2","70","39","257.1","7.45","2.80","1.50",".299","69.2%","48.8%","17.2%","89.6","5.00","","4.87","4.43","1.3","13834","621219"
"David Riske","- - -","19","19","22","450","0","483.2","7.91","3.83","1.19",".268","80.3%","36.6%","11.0%","89.2","3.54","","4.45","4.37","1.3","402","228594"
"Kyle Finnegan","WSN","22","26","88","291","0","290.1","8.93","3.63","1.24",".290","74.3%","47.5%","15.4%","96.7","3.56","","4.24","3.90","1.3","15009","640448"
"Troy Patton","- - -","5","4","0","151","2","169.0","7.19","2.29","1.07",".271","79.5%","44.9%","10.4%","90.2","3.25","","3.91","3.90","1.3","8368","461856"
"Ariel Jurado","- - -","12","16","0","45","27","181.0","5.22","2.69","1.44",".318","60.7%","47.2%","15.0%","92.9","5.97","","5.08","5.01","1.3","17030","642558"
"Justin Germano","- - -","10","30","0","96","48","330.0","5.70","2.92","1.12",".302","64.5%","47.2%","11.3%","85.2","5.40","","4.71","4.54","1.3","1938","430683"
"Danny Patterson","DET","10","11","6","180","0","183.2","4.90","2.35","0.78",".305","72.6%","49.2%","13.6%","","4.02","","4.11","4.40","1.3","485","120285"
"Sean Green","- - -","10","12","2","264","0","269.2","6.78","4.44","0.43",".310","69.4%","62.8%","7.7%","88.9","4.41","","4.01","4.21","1.3","3001","434958"
"Geoff Geary","- - -","16","10","1","287","0","351.1","5.89","3.15","0.87",".297","72.2%","45.4%","8.7%","91.4","3.92","","4.31","4.58","1.3","1813","407783"
"Cole Sands","MIN","9","4","5","88","3","123.2","9.75","2.77","1.02",".296","71.1%","39.3%","9.3%","93.8","4.00","","3.66","4.06","1.3","21461","663485"
"Codi Heuer","- - -","10","4","3","86","0","91.0","8.01","3.16","0.79",".276","73.1%","45.1%","9.4%","96.5","3.56","","3.66","4.19","1.3","23293","676051"
"Carlos Hernandez","HOU","9","8","0","35","33","170.2","7.17","4.80","1.21",".296","76.3%","41.4%","13.5%","","4.54","","4.89","4.74","1.3","560","400056"
"Jenrry Mejia","NYM","9","14","28","113","18","183.1","7.95","3.73","0.79",".326","77.2%","55.4%","10.5%","82.8","3.68","","3.83","3.75","1.3","8476","516769"
"Jose Veras","- - -","23","23","27","440","0","423.0","9.32","4.70","0.96",".266","74.3%","40.3%","9.9%","94.8","3.91","","4.13","4.16","1.3","2063","407842"
"Nick Wittgren","- - -","20","15","6","314","1","329.1","8.20","2.65","1.15",".292","73.2%","40.7%","11.7%","92.6","4.04","","4.04","4.28","1.3","15594","621295"
"Adrian Sampson","- - -","11","19","0","72","44","292.2","6.73","2.34","1.69",".299","76.0%","40.1%","14.8%","92.4","4.43","","5.09","4.87","1.3","13339","592716"
"Carlos Torres","- - -","30","31","5","362","16","506.2","7.94","3.41","1.12",".298","75.4%","44.3%","12.5%","92.2","4.09","","4.23","4.07","1.3","7624","448614"
"John Riedling","- - -","17","13","3","229","8","302.0","5.90","4.41","0.72",".288","68.4%","54.9%","10.7%","","4.41","","4.36","4.57","1.3","1515","150180"
"Tyler Walker","- - -","23","18","34","286","1","299.2","7.30","3.30","1.11",".296","73.7%","40.9%","10.3%","91.8","4.23","","4.25","4.27","1.3","901","400104"
"J.C. Romero","- - -","34","28","7","675","22","651.2","7.21","5.18","0.81",".289","73.7%","55.4%","9.7%","91.2","4.17","","4.56","4.56","1.3","754","240694"
"Dave Veres","- - -","13","16","49","244","0","256.2","7.78","3.40","1.19",".270","79.5%","40.4%","13.3%","","3.51","","4.30","4.04","1.3","1188","123707"
"Ben Brown","CHC","1","3","0","15","8","55.1","10.41","3.09","0.81",".271","72.2%","38.7%","8.1%","96.7","3.58","","3.11","3.63","1.3","23590","676962"
"Paco Rodriguez","LAD","4","5","2","124","0","85.1","9.60","3.16","0.63",".245","78.9%","47.2%","10.3%","90.0","2.53","","2.98","3.00","1.3","13398","572089"
"Trevor Bell","- - -","4","8","0","54","11","116.1","5.88","3.40","0.54",".377","64.9%","44.8%","5.0%","92.6","5.57","","3.73","4.45","1.3","7074","457707"
"Cody Anderson","CLE","9","9","0","39","26","160.2","5.99","2.52","1.29",".300","71.7%","42.5%","12.9%","93.9","4.76","","4.57","4.46","1.3","12799","594736"
"Garrett Mock","WSN","4","13","0","55","19","135.2","8.03","4.78","1.00",".340","68.1%","48.1%","10.3%","91.6","5.17","","4.37","4.35","1.3","7335","452241"
"Asher Wojciechowski","- - -","9","15","0","58","35","202.0","8.69","3.21","2.00",".306","69.6%","28.7%","14.7%","92.0","5.93","","5.46","5.39","1.3","10836","592879"
"Anthony Reyes","- - -","13","26","1","67","52","293.1","6.29","3.65","1.35",".272","68.9%","35.9%","11.0%","89.9","5.12","","5.13","4.99","1.3","7105","435039"
"Bill Bray","- - -","13","12","3","258","0","197.1","8.57","4.01","0.87",".297","74.7%","37.1%","8.1%","91.9","3.74","","3.85","4.15","1.3","8538","435538"
"Chris Perez","- - -","16","24","133","393","0","379.1","8.59","3.91","1.07",".256","77.5%","36.6%","10.1%","94.6","3.51","","4.23","4.23","1.3","5213","453198"
"Taylor Jungmann","MIL","9","13","0","30","27","146.2","7.73","3.99","0.92",".296","69.6%","46.1%","10.5%","92.0","4.54","","4.32","4.47","1.3","13119","543380"
"Julian Merryweather","- - -","6","6","4","131","5","139.2","10.44","4.00","1.03",".320","72.1%","42.8%","11.3%","97.6","4.58","","3.86","4.00","1.3","16703","657240"
"Mitch Spence","OAK","8","10","0","35","24","151.1","7.49","2.62","1.19",".319","72.7%","48.4%","12.3%","","4.58","","4.21","4.12","1.2","27707","687765"
"Sean Burnett","- - -","15","23","10","380","13","378.1","6.59","3.52","0.88",".282","78.1%","53.4%","11.9%","91.0","3.52","","4.16","4.00","1.2","1886","430634"
"Ernesto Frieri","- - -","11","14","73","304","0","303.1","11.48","4.24","1.25",".274","79.8%","26.4%","10.5%","94.2","3.59","","3.96","3.93","1.2","5178","457117"
"Adalberto Mejia","- - -","6","9","0","62","25","154.0","7.48","4.38","1.05",".316","73.5%","36.1%","9.5%","92.7","4.62","","4.62","5.32","1.2","13188","606167"
"Jovani Moran","MIN","2","3","1","79","0","91.0","11.08","5.14","0.30",".301","65.1%","45.6%","4.1%","93.3","4.15","","2.87","3.73","1.2","20422","663558"
"Erik Hiljus","- - -","8","3","0","28","20","115.1","7.65","3.36","1.48",".307","71.1%","27.6%","13.3%","","4.76","","4.58","5.60","1.2","919","150195"
"Randy Dobnak","MIN","9","12","2","38","21","135.1","5.59","2.33","1.06",".308","67.0%","57.0%","16.0%","93.3","4.99","","4.44","4.26","1.2","23798","677976"
"J.P. France","HOU","11","9","0","29","28","161.2","6.85","3.28","1.34",".294","74.0%","40.5%","11.7%","93.0","4.40","","4.80","4.93","1.2","21212","641585"
"Matt Bowman","- - -","8","13","2","211","1","216.0","7.33","3.21","0.83",".278","68.1%","54.6%","11.4%","93.2","4.17","","3.93","4.12","1.2","13528","621199"
"Justin Martinez","ARI","5","6","9","74","0","82.2","11.43","5.12","0.44",".332","70.7%","57.1%","9.5%","100.5","3.70","","3.12","3.27","1.2","24453","679885"
"Davis Martin","CHW","3","11","0","25","19","113.1","7.54","3.34","1.03",".302","70.4%","40.6%","10.1%","93.9","4.61","","4.27","4.48","1.2","21448","663436"
"Kevin Jarvis","- - -","22","30","0","102","78","481.2","5.38","2.75","1.72",".290","66.3%","45.5%","14.9%","","5.66","","5.37","4.80","1.2","1037","116496"
"Carlos Hernandez","KCR","7","19","4","150","25","256.1","7.93","4.39","1.02",".296","67.7%","36.3%","9.0%","97.8","4.95","","4.45","5.03","1.2","22713","672578"
"Mitch Talbot","- - -","12","19","0","43","41","232.2","4.99","4.18","1.01",".322","69.2%","45.8%","9.5%","","5.30","","4.96","4.96","1.2","4961","452676"
"Juan Oviedo","- - -","21","23","93","349","6","388.2","7.27","3.08","1.16",".289","72.7%","39.0%","9.8%","94.6","4.28","","4.31","4.33","1.2","2886","434663"
"Guillermo Moscoso","- - -","13","14","0","70","26","222.2","6.71","3.48","1.13",".266","69.4%","27.6%","7.7%","91.8","4.28","","4.46","4.97","1.2","5106","446861"
"Adam Loewen","- - -","10","8","0","63","29","189.1","7.56","6.13","0.86",".312","66.1%","46.8%","10.1%","91.6","5.85","","5.00","5.07","1.2","2134","429400"
"Casey Sadler","- - -","6","4","1","101","2","125.2","7.45","3.15","0.72",".254","74.3%","53.4%","9.9%","93.5","2.86","","3.76","4.18","1.2","11209","594987"
"Francisco Cordova","PIT","6","8","0","18","17","95.0","6.25","3.60","1.14",".314","64.5%","","","","5.21","","4.65","","1.2","1002623","112681"
"Adam Bernero","- - -","11","27","0","150","37","376.0","5.91","3.18","1.39",".305","64.4%","39.3%","11.6%","","5.91","","4.94","4.80","1.2","460","333293"
"Adrian Morejon","SDP","10","5","2","110","9","138.2","9.35","2.86","1.23",".332","73.5%","44.5%","12.8%","96.6","4.15","","3.86","3.80","1.2","20039","670970"
"Sean Lowe","- - -","19","9","3","174","17","321.2","6.04","3.72","1.06",".309","69.7%","48.2%","15.2%","","4.92","","4.68","4.42","1.2","994","117957"
"Andrew Nardi","MIA","12","4","3","135","0","121.2","12.35","3.92","1.41",".332","74.3%","35.8%","14.2%","94.4","4.51","","3.92","3.60","1.2","25942","677053"
"Colin Poche","TBR","22","12","12","225","0","208.1","9.94","3.37","1.34",".238","75.8%","30.0%","11.3%","92.9","3.63","","4.14","4.39","1.2","19403","621363"
"Tyler Alexander","- - -","17","28","0","143","52","449.0","7.28","1.96","1.64",".293","74.3%","35.4%","13.1%","90.3","4.55","","4.70","4.64","1.2","17735","641302"
"Odrisamer Despaigne","- - -","13","26","1","109","50","363.0","5.55","3.22","0.89",".304","64.6%","45.8%","9.9%","92.1","5.11","","4.45","4.71","1.2","16017","628333"
"Jeremiah Estrada","- - -","6","3","1","79","0","77.1","13.38","4.42","1.05",".298","77.3%","32.4%","11.3%","96.9","3.49","","3.19","3.27","1.2","22210","669093"
"Greg Smith","- - -","8","18","0","40","40","229.1","5.57","4.36","1.14",".272","72.8%","35.4%","9.3%","88.0","4.51","","5.03","5.16","1.2","3455","460105"
"Jeff Shaw","LAD","6","9","70","137","0","132.0","6.61","2.32","1.16",".267","72.9%","","","","3.89","","4.13","","1.2","1011823","122079"
"Matthew Liberatore","STL","8","12","0","91","24","182.1","7.40","3.50","1.04",".309","66.6%","41.9%","10.1%","94.4","4.99","","4.34","4.60","1.2","22294","669461"
"Tsuyoshi Wada","CHC","5","5","0","21","20","101.2","7.79","2.66","1.06",".292","77.9%","38.7%","10.4%","89.6","3.36","","3.94","3.87","1.2","13046","493159"
"Caleb Smith","- - -","20","30","0","147","64","447.0","9.62","4.37","1.69",".252","75.3%","27.9%","13.6%","91.9","4.55","","5.04","5.06","1.2","14875","592761"
"Justin Topa","- - -","5","5","3","95","0","89.2","8.03","2.31","0.70",".317","65.9%","56.4%","10.6%","","3.71","","3.33","3.55","1.2","15145","623437"
"Huascar Brazoban","- - -","7","6","0","116","0","142.1","9.86","4.87","0.63",".295","72.0%","49.1%","8.8%","96.9","3.79","","3.72","4.05","1.2","6107","623211"
"Grant Holmes","ATL","2","1","0","26","7","68.1","9.22","1.98","0.92",".314","76.5%","43.8%","9.3%","94.5","3.56","","3.20","3.52","1.2","16944","656550"
"Britt Reames","- - -","7","13","0","101","26","218.0","8.42","4.87","1.32",".312","67.6%","49.6%","15.8%","","5.28","","4.84","4.01","1.2","794","337392"
"Paxton Crawford","BOS","5","1","0","15","11","65.0","5.82","3.60","0.42",".297","67.2%","","","","4.15","","3.78","","1.2","1002747","275929"
"Alfredo Aceves","- - -","31","16","29","204","15","380.1","6.67","3.05","1.14",".256","75.2%","38.5%","9.7%","93.0","3.83","","4.47","4.55","1.2","5164","469686"
"Matt Mantei","- - -","9","10","52","182","0","171.0","10.21","5.21","1.11",".282","71.3%","34.6%","10.6%","","4.63","","4.29","4.25","1.2","64","118256"
"Huascar Ynoa","ATL","4","8","0","31","24","122.1","9.42","3.31","1.40",".297","67.7%","48.8%","18.3%","96.4","5.22","","4.35","3.85","1.2","20468","660623"
"Gregory Santos","- - -","2","5","5","73","0","79.1","8.74","2.61","0.57",".331","67.9%","53.5%","9.3%","98.7","4.08","","3.21","3.51","1.2","21894","666619"
"Xavier Cedeno","- - -","10","7","3","254","0","177.2","8.86","3.65","0.81",".313","74.5%","50.8%","11.5%","90.7","3.65","","3.63","3.66","1.2","36","458584"
"Jacob Webb","- - -","12","10","6","192","0","187.0","8.95","4.24","0.87",".263","75.3%","36.9%","8.6%","94.3","2.98","","3.99","4.65","1.2","19274","657097"
"Jace Fry","CHW","5","9","4","162","1","139.1","10.85","5.56","1.03",".303","66.1%","51.7%","16.7%","92.8","5.04","","4.23","3.99","1.2","16159","605240"
"Bowden Francis","TOR","9","5","1","48","13","140.2","8.19","1.92","1.41",".209","83.5%","34.6%","12.3%","93.4","2.88","","4.21","4.15","1.2","20548","670102"
"Vinnie Chulk","- - -","8","15","2","259","0","285.1","6.28","3.53","0.98",".293","70.9%","39.4%","8.4%","92.0","4.51","","4.40","4.74","1.2","1838","425562"
"Blake Wood","- - -","16","16","2","270","0","289.2","8.58","4.41","0.90",".319","71.6%","52.5%","12.1%","96.2","4.47","","4.07","3.99","1.1","1345","502028"
"Tommy Phelps","- - -","4","5","1","75","11","120.1","6.36","3.52","0.82",".311","70.5%","41.7%","8.4%","","4.34","","4.08","4.47","1.1","1665","425882"
"Hunter Gaddis","CLE","8","6","0","91","9","124.0","6.90","2.25","1.23",".235","75.3%","32.1%","9.0%","94.6","3.56","","4.39","4.99","1.1","25636","683769"
"Taylor Jordan","WSN","1","8","0","18","15","94.1","5.44","2.39","0.57",".326","63.9%","54.0%","7.2%","92.3","4.48","","3.66","4.02","1.1","10466","518863"
"Brian Tallet","- - -","16","25","0","242","36","460.0","6.59","4.17","1.13",".285","70.3%","38.7%","9.6%","89.9","4.79","","4.84","4.91","1.1","1646","425226"
"Jake Faria","- - -","9","9","0","73","29","205.0","8.25","4.08","1.32",".297","72.3%","37.1%","12.2%","92.1","4.87","","4.76","4.95","1.1","13699","607188"
"Tony Zych","SEA","7","3","1","70","1","72.2","9.91","4.21","0.37",".293","79.1%","49.7%","5.0%","94.6","2.72","","3.22","4.06","1.1","12876","543964"
"Tyler Kinley","- - -","13","11","18","269","0","258.2","9.36","4.42","1.22",".288","69.6%","38.4%","11.9%","95.8","4.98","","4.46","4.65","1.1","18297","641755"
"Brandon Backe","- - -","31","29","0","145","79","525.1","6.17","4.08","1.49",".299","73.0%","38.6%","12.8%","90.0","5.23","","5.33","4.94","1.1","1529","407840"
"T.J. Tucker","MON","13","9","4","171","10","228.2","5.51","2.87","1.06",".310","70.9%","49.3%","10.0%","","4.57","","4.39","4.25","1.1","800","324892"
"Miguel Asencio","- - -","7","8","0","42","30","179.1","4.62","4.47","1.10",".295","70.0%","46.4%","10.9%","","5.07","","5.16","5.16","1.1","586","407900"
"Michael Grove","LAD","7","7","0","64","20","149.1","9.10","2.71","1.45",".325","63.9%","41.3%","14.2%","94.6","5.48","","4.35","4.03","1.1","23221","675627"
"Ryan Buchter","- - -","17","6","2","285","0","236.1","9.86","4.38","1.26",".246","80.6%","26.1%","10.5%","92.8","3.16","","4.38","4.91","1.1","9456","488748"
"Calvin Faucher","- - -","5","7","7","92","4","100.2","9.75","4.29","0.72",".344","66.5%","46.0%","8.5%","95.8","4.65","","3.65","4.06","1.1","20116","676534"
"John King","- - -","14","13","0","163","0","205.0","6.01","2.37","0.75",".307","71.4%","62.1%","13.1%","92.6","3.60","","3.82","3.76","1.1","22051","667463"
"David Buchanan","- - -","8","17","0","36","35","195.2","5.34","2.90","1.10",".317","69.6%","48.9%","12.2%","90.8","4.97","","4.68","4.43","1.1","11176","571527"
"Travis Miller","MIN","3","7","1","117","0","119.2","7.14","4.06","0.68",".340","70.7%","57.1%","0.0%","","4.29","","3.89","4.35","1.1","742","119124"
"John Grabow","- - -","24","19","6","506","0","476.1","7.56","4.16","1.04",".300","72.8%","44.3%","10.6%","90.7","4.31","","4.38","4.32","1.1","1848","346848"
"Joely Rodriguez","- - -","5","10","1","182","0","170.2","9.07","4.01","0.84",".333","64.0%","56.0%","13.7%","94.2","4.80","","3.82","3.74","1.1","11487","570257"
"Jonathan Cannon","CHW","5","10","1","23","21","124.1","6.59","2.90","1.30",".290","72.3%","38.1%","11.8%","94.4","4.49","","4.65","4.63","1.1","31730","686563"
"Graeme Lloyd","- - -","14","14","6","202","0","175.0","5.45","2.78","0.72",".327","65.8%","46.2%","8.2%","","4.89","","3.92","4.18","1.1","783","117841"
"Hipolito Pichardo","- - -","8","5","1","69","1","100.0","4.86","3.42","0.36",".310","66.7%","50.0%","0.0%","","4.23","","3.92","20.96","1.1","1472","120539"
"Rob Bell","- - -","34","37","0","151","108","686.0","5.52","3.78","1.64",".286","67.5%","44.0%","12.6%","86.2","5.71","","5.56","4.93","1.1","1492","150174"
"Nate Cornejo","DET","12","29","0","56","56","313.0","2.96","3.31","1.09",".319","67.6%","52.0%","9.9%","","5.41","","5.13","4.97","1.1","462","407074"
"Doug Jones","OAK","4","2","2","54","0","73.1","6.63","2.21","0.74",".335","73.8%","","","","3.93","","3.54","","1.1","1006552","116682"
"Justin Hampson","- - -","5","4","0","92","1","106.0","5.60","3.06","0.42",".299","74.5%","44.4%","4.1%","87.0","3.23","","3.68","4.59","1.1","2209","430618"
"Sixto Sanchez","MIA","3","5","0","21","14","74.2","6.03","3.01","0.72",".312","64.6%","52.9%","8.5%","96.1","4.70","","4.09","4.66","1.1","19680","664350"
"Tim Herrin","CLE","6","2","0","98","0","93.1","9.64","3.57","0.48",".275","73.3%","48.0%","6.5%","96.2","2.99","","3.16","3.75","1.1","25139","682120"
"Justin Anderson","- - -","7","5","6","167","0","155.2","10.64","6.01","0.81",".303","70.4%","41.2%","9.4%","96.1","4.63","","4.14","4.60","1.1","16201","605121"
"Beau Brieske","DET","9","14","3","86","28","184.1","7.52","3.27","1.12",".268","74.3%","38.6%","10.1%","95.4","3.86","","4.25","4.51","1.1","26079","689225"
"Javy Guerra","- - -","11","13","33","272","0","302.2","7.29","3.60","0.86",".305","74.5%","41.3%","8.5%","93.5","3.98","","4.14","4.74","1.1","7407","457915"
"Ron Mahay","- - -","21","11","2","451","2","497.2","7.58","4.29","1.23",".288","76.3%","41.9%","10.4%","90.9","4.00","","4.67","4.47","1.1","290","118158"
"Denny Bautista","- - -","11","15","0","131","21","223.1","7.25","5.28","0.85",".328","65.7%","44.3%","8.1%","94.8","5.88","","4.68","5.01","1.1","1947","429714"
"Tony Santillan","CIN","5","7","4","79","5","96.1","11.58","4.39","1.12",".302","80.4%","31.8%","12.0%","96.2","3.46","","4.01","4.07","1.1","19926","663574"
"Michael Tejera","- - -","11","13","3","108","26","232.0","6.40","4.11","0.97",".306","70.3%","42.6%","9.6%","","4.97","","4.47","4.65","1.1","542","150373"
"Pete Walker","- - -","19","14","4","130","31","321.0","5.19","3.50","1.26",".285","73.2%","43.9%","12.0%","","4.49","","4.91","4.75","1.1","1325","123839"
"John Wasdin","- - -","12","18","5","153","27","349.2","6.33","2.99","1.57",".315","69.9%","34.1%","11.7%","89.4","5.61","","5.10","5.32","1.1","1768","123955"
"Jim Brower","- - -","30","31","5","345","26","548.1","6.22","4.04","1.02",".298","70.4%","51.4%","11.3%","","4.68","","4.63","4.28","1.1","313","150342"
"David Aardsma","- - -","16","18","69","331","0","337.0","9.08","4.89","1.09",".285","74.5%","34.4%","10.1%","94.0","4.27","","4.45","4.49","1.1","1902","430911"
"Kyle Barraclough","- - -","19","16","11","291","0","282.0","11.17","5.52","0.99",".283","76.4%","42.5%","12.6%","94.8","3.86","","4.13","4.20","1.1","13713","607457"
