"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR","playerid","mlbamid"
"Levale Speigner","WSN","2","4","0","26","6","48.0","3.75","5.44","0.94",".359","55.8%","48.9%","8.3%","88.7","9.19","","5.68","5.90","-0.4","5717","446453"
"Hyeon-jong Yang","TEX","0","3","0","12","4","35.1","6.37","4.08","2.29",".303","75.4%","41.7%","21.4%","90.1","5.60","","6.51","5.30","-0.4","27513","660365"
"Bret Prinz","- - -","5","4","9","102","0","92.0","6.26","4.89","1.27",".298","74.7%","38.7%","13.8%","95.5","4.89","","5.22","5.33","-0.4","1474","400092"
"Walker Lockett","- - -","2","4","0","20","8","54.0","6.50","3.33","2.00",".360","64.5%","45.2%","20.7%","92.5","7.67","","5.91","5.05","-0.4","13804","621141"
"Jim Miller","- - -","2","3","1","50","0","67.1","7.89","5.21","1.34",".267","83.3%","33.5%","11.8%","93.6","3.48","","5.19","5.04","-0.4","7458","461848"
"George Soriano","MIA","1","1","2","48","1","81.1","8.96","3.98","1.44",".273","69.1%","35.9%","13.8%","94.4","4.87","","4.97","4.74","-0.4","21863","666277"
"Kyle Drabek","- - -","8","15","0","43","30","179.2","6.16","5.86","1.20",".299","72.2%","49.6%","14.0%","94.1","5.26","","5.44","4.99","-0.4","4359","475138"
"Wes Benjamin","TEX","2","3","0","21","3","45.0","8.00","4.80","2.00",".316","66.7%","32.6%","14.5%","91.3","6.80","","5.89","5.82","-0.4","19243","605138"
"Scott Winchester","CIN","0","2","0","17","1","31.1","3.45","1.72","2.30",".279","67.9%","","","","4.31","","6.48","","-0.4","1014120","124441"
"Scott Mullen","- - -","4","5","0","75","1","67.2","4.66","4.66","1.20",".290","75.0%","45.7%","12.7%","","4.66","","5.39","5.20","-0.4","618","150206"
"Cory Vance","COL","1","3","0","11","4","31.1","3.73","4.02","2.30",".260","72.9%","39.6%","19.5%","","5.74","","7.04","5.61","-0.4","1647","425246"
