"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid","mlbamid"
"Glenallen Hill","- - -","120","387","28","49","60","0","4.9%","24.8%",".260",".284",".265",".302",".525",".346","","103","-0.4","1.7","-14.7","-0.1","1005820","115935"
"Shawn Wooten","- - -","267","720","18","66","86","4","5.1%","16.7%",".126",".305",".272",".314",".398",".308","","85","-3.7","-17.1","-8.4","-0.1","43","279564"
"Josh Fields","- - -","217","796","34","95","107","3","8.7%","29.5%",".187",".298",".234",".303",".421",".317","","86","-3.6","-17.3","-10.9","-0.1","7490","435222"
"Jeff Samardzija","- - -","372","395","3","16","22","0","1.8%","39.0%",".066",".208",".126",".144",".191",".146","","-17","-0.1","-56.4","43.2","-0.1","3254","502188"
"Yermin Mercedes","- - -","100","346","8","35","45","0","8.4%","18.2%",".127",".303",".261",".327",".389",".313","","99","-1.1","-1.7","-10.8","-0.1","17423","606213"
"Rob Ducey","- - -","174","291","9","36","38","1","16.2%","25.4%",".155",".253",".206",".336",".361",".314","","81","-0.2","-7.6","-3.1","-0.1","1003520","113585"
"Chad Curtis","TEX","146","511","11","72","58","10","10.0%","18.0%",".140",".311",".267",".342",".407",".331","","89","0.2","-7.3","-11.4","-0.1","1002898","112963"
"Brennan Boesch","- - -","481","1713","48","192","195","22","6.4%","20.1%",".150",".289",".250",".303",".400",".307","","89","4.2","-17.6","-40.7","-0.1","914","453269"
"Jason Pridie","- - -","133","276","5","33","24","7","9.4%","26.4%",".135",".286",".216",".290",".351",".283","","78","2.5","-4.8","-4.6","-0.1","4611","445095"
"Jordan Schafer","- - -","463","1472","12","171","85","103","9.9%","26.0%",".079",".314",".228",".308",".307",".278","","71","13.4","-35.9","-10.7","-0.1","9883","457788"
"Josh Johnson","- - -","171","318","3","14","25","0","4.4%","45.9%",".051",".252",".125",".168",".176",".159","","-14","-0.1","-44.5","33.7","-0.1","4567","435178"
"Mat Gamel","MIL","106","269","6","23","29","4","8.9%","30.5%",".138",".318",".229",".305",".367",".296","","78","2.1","-4.8","-4.2","-0.1","4034","451143"
"Scott Olsen","- - -","132","252","0","8","15","0","2.8%","35.3%",".023",".258",".150",".177",".174",".161","","-14","-0.1","-36.5","27.5","-0.1","4529","435179"
"Mason Williams","- - -","114","289","4","27","15","4","5.9%","24.2%",".101",".344",".265",".308",".366",".291","","79","0.3","-7.3","-3.3","-0.1","11859","592863"
"Matt Davidson","- - -","311","1112","54","109","157","0","7.9%","34.3%",".209",".290",".220",".290",".430",".308","","93","-7.6","-17.2","-21.9","-0.1","7226","571602"
"Jeff Abbott","- - -","108","288","3","36","34","2","8.3%","15.6%",".113",".319",".272",".340",".385",".323","","86","0.0","-5.5","-5.6","-0.1","1000011","110010"
"Aaron Cunningham","- - -","222","501","7","47","51","4","6.8%","22.0%",".128",".271",".219",".280",".347",".276","","72","-1.3","-18.1","0.8","-0.1","4087","488811"
"Kerry Robinson","- - -","452","791","3","108","56","36","4.7%","11.5%",".071",".300",".268",".305",".339",".282","","68","9.8","-22.4","-5.1","-0.1","1179","137005"
"Nate Freiman","OAK","116","301","9","22","39","0","6.3%","17.9%",".152",".287",".256",".309",".408",".315","","101","-4.5","-4.1","-6.7","-0.1","6582","474384"
"Nick Maton","- - -","180","509","15","58","63","3","11.4%","27.7%",".153",".265",".208",".306",".361",".295","","85","2.0","-7.7","-11.1","-0.1","21635","665155"
"Robbie Ray","- - -","228","268","1","11","9","0","1.5%","43.3%",".038",".273",".143",".157",".181",".148","","-21","-0.1","-40.7","31.0","-0.1","11486","592662"
"Brandon Hicks","- - -","126","340","11","43","30","1","11.8%","35.0%",".156",".206",".153",".258",".310",".256","","63","0.9","-13.7","1.8","-0.1","4003","518794"
"Phil Gosselin","- - -","497","1199","17","137","103","11","6.3%","21.6%",".096",".316",".254",".305",".349",".288","","76","3.9","-30.4","-9.8","-0.1","10953","594838"
"Josh Palacios","- - -","133","355","10","41","46","6","4.5%","23.1%",".137",".276",".231",".276",".368",".280","","72","1.6","-10.5","-2.8","-0.1","19818","641943"
"Micah Hoffpauir","CHC","162","394","12","47","48","2","7.9%","21.6%",".170",".295",".251",".312",".421",".320","","88","2.3","-3.4","-10.0","-0.1","4342","451687"
"Daniel Robertson","- - -","148","386","1","43","36","6","7.0%","10.6%",".066",".294",".262",".314",".328",".285","","76","-1.9","-13.0","-1.1","-0.1","6266","543706"
"Junior Lake","- - -","223","703","17","65","48","16","5.0%","31.0%",".141",".324",".235",".278",".376",".288","","81","1.4","-14.2","-8.7","-0.1","4672","516809"
"Angel Berroa","- - -","746","2807","46","329","254","50","4.2%","16.4%",".116",".297",".258",".303",".374",".296","","73","2.2","-94.3","-2.8","-0.1","591","407556"
"Clayton Richard","- - -","286","380","3","19","28","0","2.1%","41.6%",".058",".204",".114",".144",".172",".142","","-17","-0.1","-54.1","40.9","-0.1","3551","453385"
"Logan Schafer","- - -","318","720","5","71","53","10","8.6%","18.9%",".104",".265",".214",".292",".318",".273","","66","5.0","-22.9","-0.3","-0.1","7937","502582"
"Rodolfo Castro","- - -","194","627","22","55","59","6","8.1%","27.9%",".161",".275",".219",".292",".380",".295","","84","-4.3","-16.8","-6.3","-0.1","21987","666801"
"Gregorio Petit","- - -","197","493","4","55","35","4","5.5%","24.5%",".094",".328",".249",".294",".343",".280","","74","-1.4","-16.5","-1.6","-0.1","3812","463610"
"Neifi Perez","- - -","984","3676","38","402","326","33","3.9%","8.9%",".101",".279",".263",".291",".364",".283","","57","-2.1","-203.3","78.0","-0.1","620","120413"
"Angel Echevarria","- - -","166","314","9","29","40","0","7.3%","18.2%",".167",".294",".262",".322",".429",".326","","94","-1.2","-4.2","-7.9","-0.2","1498","113724"
"Aaron Cook","- - -","272","473","0","26","19","0","4.4%","27.5%",".024",".229",".152",".200",".175",".176","","-13","-0.2","-67.4","50.6","-0.2","1571","346871"
"Max Moroff","- - -","110","260","7","29","35","1","9.6%","36.5%",".127",".258",".175",".264",".301",".251","","52","1.8","-14.0","3.7","-0.2","14556","621559"
"Kody Clemens","- - -","106","275","9","28","30","1","5.8%","26.5%",".148",".227",".191",".240",".340",".253","","57","1.7","-12.1","1.5","-0.2","20572","665019"
"Zach Davies","- - -","205","262","0","15","9","0","3.4%","30.9%",".019",".201",".126",".161",".144",".140","","-23","-0.1","-40.6","30.6","-0.2","13183","605200"
"JaCoby Jones","DET","352","1195","32","138","98","29","6.0%","32.6%",".159",".296",".212",".275",".371",".279","","71","3.9","-37.6","-6.2","-0.2","14818","592444"
"Shelby Miller","- - -","204","253","1","16","7","0","4.7%","43.1%",".074",".221",".108",".164",".181",".160","","-9","-0.1","-32.2","22.7","-0.2","10197","571946"
"Jose Ortiz","- - -","136","498","14","68","51","6","7.0%","14.9%",".136",".260",".243",".305",".379",".301","","63","0.6","-22.9","4.8","-0.2","442","276515"
"Wes Helms","- - -","1205","3014","74","278","372","3","7.3%","22.7%",".148",".311",".256",".318",".404",".315","","87","-12.0","-60.0","-38.5","-0.2","94","136500"
"Kila Ka'aihue","- - -","126","465","15","45","46","1","10.5%","20.4%",".161",".251",".221",".305",".382",".304","","87","-1.7","-8.6","-9.0","-0.2","4707","451500"
"P.J. Higgins","CHC","83","254","6","24","30","0","9.4%","26.0%",".138",".268",".210",".291",".348",".285","","83","-1.4","-6.9","-3.5","-0.2","18433","664731"
"Diego Castillo","- - -","97","284","11","28","29","1","4.9%","26.4%",".175",".238",".205",".250",".380",".271","","71","-0.4","-10.0","-1.4","-0.2","19906","660636"
"Tony Abreu","- - -","224","615","6","61","60","2","3.6%","18.9%",".119",".303",".254",".283",".373",".285","","73","-4.9","-25.1","4.3","-0.2","5053","473234"
"Alan Trejo","COL","146","402","9","46","46","6","6.0%","24.1%",".124",".302",".243",".292",".367",".287","","65","-0.1","-17.7","2.0","-0.2","20056","676701"
"Chase d'Arnaud","- - -","236","599","5","68","40","29","6.0%","25.4%",".095",".294",".222",".273",".316",".259","","59","4.3","-25.8","5.3","-0.2","6652","488818"
"Michael McKenry","- - -","311","953","29","94","103","2","9.8%","24.7%",".168",".294",".238",".318",".406",".318","","95","-5.3","-10.9","-20.0","-0.2","9628","502374"
"Robb Quinlan","ANA","458","1196","25","134","121","16","5.8%","15.6%",".125",".312",".276",".322",".401",".317","","90","-6.2","-19.7","-22.8","-0.2","1779","425477"
"Brian Lawrence","- - -","170","326","1","16","20","0","4.0%","29.8%",".035",".192",".131",".168",".166",".153","","-13","0.0","-46.9","34.3","-0.2","1045","400147"
"Andy LaRoche","- - -","404","1336","22","133","113","8","9.1%","15.6%",".111",".255",".226",".304",".336",".287","","73","-3.2","-48.3","5.0","-0.2","6444","451188"
"Lastings Milledge","- - -","433","1659","33","166","167","40","6.3%","17.3%",".125",".312",".269",".328",".395",".318","","92","-6.3","-23.6","-31.3","-0.2","6441","451186"
"MJ Melendez","KCR","277","1136","34","122","118","8","11.3%","26.5%",".169",".286",".227",".314",".396",".310","","95","-1.2","-8.4","-31.0","-0.2","22197","669004"
"Dae-Ho Lee","SEA","104","317","14","33","49","0","6.3%","23.3%",".175",".294",".253",".312",".428",".318","","103","-4.7","-3.5","-9.3","-0.2","18722","493193"
"Jeff Salazar","- - -","168","348","4","44","31","5","12.6%","23.9%",".117",".307",".232",".335",".349",".308","","76","3.4","-7.0","-6.4","-0.2","4507","434625"
"F.P. Santangelo","- - -","113","266","1","35","17","4","12.0%","18.8%",".052",".248",".197",".328",".249",".280","","66","-0.5","-12.7","1.3","-0.2","1011438","121692"
"Brandon Allen","- - -","116","389","12","44","41","3","10.8%","35.2%",".172",".294",".203",".290",".375",".290","","75","3.0","-8.7","-6.0","-0.2","7436","450315"
"Damon Buford","CHC","185","645","18","75","56","4","7.9%","21.9%",".138",".286",".240",".309",".378",".303","","75","-1.9","-23.5","0.0","-0.2","1001635","111673"
"Ryan Cordell","- - -","121","295","8","25","28","4","6.4%","29.5%",".126",".263",".202",".263",".328",".256","","57","0.4","-15.6","3.2","-0.2","15181","641477"
"Reggie Taylor","- - -","260","548","14","62","58","21","5.1%","29.7%",".150",".309",".231",".274",".381",".282","","65","2.3","-21.9","1.7","-0.2","358","150114"
"Luis Hernandez","- - -","122","292","3","22","20","6","4.8%","15.8%",".052",".282",".243",".284",".296",".263","","53","0.8","-16.2","4.2","-0.2","3206","434682"
"A.J. Hinch","- - -","154","456","16","44","53","4","6.6%","18.4%",".161",".226",".212",".277",".372",".284","","64","0.2","-20.2","2.3","-0.2","606","134460"
"Shogo Akiyama","CIN","142","366","0","32","21","9","10.7%","20.2%",".050",".291",".224",".320",".274",".274","","63","1.2","-16.2","-0.1","-0.2","27461","673451"
"J.J. Bleday","- - -","147","541","15","56","43","9","13.3%","25.7%",".152",".222",".183",".296",".335",".283","","81","1.8","-10.0","-10.3","-0.2","26368","668709"
"Josmil Pinto","- - -","84","286","11","36","30","0","10.8%","26.6%",".184",".313",".252",".336",".436",".341","","116","-1.8","3.4","-14.5","-0.2","6806","500887"
"Eric Campbell","- - -","200","517","7","54","44","9","10.4%","22.6%",".087",".281",".223",".312",".310",".282","","80","-1.3","-13.8","-4.6","-0.2","6938","493472"
"Victor Diaz","- - -","147","485","24","62","73","6","6.6%","27.8%",".231",".310",".256",".309",".487",".335","","102","-4.0","-2.8","-15.6","-0.2","3424","429806"
"Ryan Rua","TEX","279","755","23","95","67","15","6.0%","30.6%",".147",".317",".236",".289",".382",".292","","74","2.2","-21.5","-6.3","-0.2","12409","607387"
"Jim Adduci","- - -","151","431","5","48","39","7","6.7%","25.8%",".104",".307",".232",".283",".336",".272","","66","3.9","-13.1","-3.3","-0.2","6448","451192"
"Butch Huskey","- - -","109","356","9","40","45","1","11.5%","17.7%",".156",".295",".261",".346",".417",".334","","84","-1.1","-8.6","-6.5","-0.2","1006228","116357"
"Luis Rivas","- - -","648","2290","34","286","201","81","5.5%","13.8%",".120",".287",".257",".303",".377",".298","","77","5.9","-61.3","-18.9","-0.2","753","276372"
"Dominic Smith","- - -","600","1959","58","204","225","4","7.2%","21.7%",".159",".293",".248",".313",".407",".312","","97","-8.1","-15.1","-50.6","-0.2","15653","642086"
"Jair Jurrjens","- - -","138","271","0","17","7","0","6.6%","27.7%",".022",".169",".112",".182",".135",".155","","-16","-0.5","-38.5","27.9","-0.2","5556","457453"
"Darryl Hamilton","NYM","95","271","2","35","11","5","12.2%","14.8%",".091",".281",".242",".338",".333",".302","","79","0.6","-6.9","-4.5","-0.3","1005272","115378"
"Rob Bowen","- - -","216","439","9","50","43","1","10.9%","31.7%",".130",".299",".209",".300",".339",".285","","71","0.8","-15.1","-2.2","-0.3","1817","425468"
"Shed Long Jr.","SEA","110","417","12","44","41","8","8.6%","27.8%",".161",".278",".216",".284",".376",".285","","81","2.0","-7.5","-10.0","-0.3","16542","643418"
"Eugenio Velez","- - -","259","718","8","89","72","31","5.6%","16.4%",".125",".281",".241",".287",".367",".286","","70","4.9","-20.8","-4.1","-0.3","3893","464299"
"Andrew Velazquez","- - -","275","624","12","77","40","40","6.1%","33.8%",".104",".275",".189",".244",".293",".239","","48","8.6","-29.2","6.1","-0.3","14196","623205"
"Pavin Smith","ARI","301","1094","28","125","116","4","10.1%","20.7%",".139",".284",".240",".319",".379",".307","","92","-3.1","-14.2","-25.9","-0.3","19892","656976"
"Yadiel Hernandez","WSN","218","644","19","66","79","5","6.5%","22.5%",".145",".321",".267",".315",".412",".315","","99","-6.7","-7.9","-16.5","-0.3","19334","628450"
"Andy Sheets","- - -","102","359","5","29","37","4","6.7%","22.0%",".084",".263",".214",".265",".297",".251","","48","0.7","-23.3","7.6","-0.3","1226","122109"
"Jay Canizaro","MIN","140","497","7","57","51","4","6.8%","15.9%",".118",".294",".255",".308",".373",".302","","72","-1.0","-19.1","-1.1","-0.3","722","111957"
"J.R. Towles","HOU","155","484","11","40","50","0","7.6%","19.6%",".129",".212",".187",".267",".315",".260","","55","-0.6","-26.7","8.7","-0.3","7348","453525"
"Clint Robinson","- - -","243","590","15","63","62","0","9.8%","15.8%",".127",".284",".257",".336",".384",".316","","96","-5.0","-8.4","-13.1","-0.3","6908","519208"
"Erik Gonzalez","- - -","352","894","11","87","77","13","4.3%","24.5%",".097",".312",".242",".276",".340",".265","","62","-0.8","-44.3","9.5","-0.3","13369","570481"
"Roy Oswalt","- - -","370","796","1","30","36","0","3.4%","22.7%",".015",".210",".154",".193",".169",".169","","-9","-0.2","-109.5","81.0","-0.3","571","400061"
"Jason Vosler","- - -","97","258","10","32","31","3","7.8%","29.1%",".197",".260",".210",".279",".408",".294","","86","-0.9","-5.6","-6.4","-0.3","16686","613564"
"John Flaherty","- - -","397","1375","30","120","142","3","4.4%","15.3%",".129",".272",".246",".281",".376",".284","","67","-6.4","-64.7","14.2","-0.3","1206","114208"
"Lance Niekro","SFG","195","535","17","61","79","0","5.4%","17.0%",".174",".268",".246",".288",".421",".305","","80","-1.7","-15.5","-5.4","-0.3","1832","408067"
"Jon Lieber","- - -","223","401","0","17","11","0","3.5%","32.2%",".026",".228",".145",".177",".170",".160","","-15","0.0","-59.9","43.8","-0.3","287","117758"
"Dan Ortmeier","SFG","124","278","6","25","24","5","6.1%","24.5%",".157",".322",".255",".309",".412",".312","","83","0.2","-5.6","-6.6","-0.3","4694","430931"
"Landon Powell","OAK","123","406","10","42","45","1","9.9%","23.9%",".121",".252",".207",".284",".328",".276","","68","-5.2","-20.5","3.7","-0.3","8361","445169"
"Brent Abernathy","- - -","232","955","8","97","79","21","6.3%","9.7%",".081",".265",".244",".297",".325",".278","","66","0.7","-40.2","4.4","-0.3","1192","150466"
"Wil Nieves","- - -","427","1260","10","88","114","3","4.8%","18.1%",".076",".289",".241",".280",".317",".262","","56","-12.1","-79.6","36.8","-0.3","1556","408242"
"Phillip Evans","- - -","121","353","6","34","27","2","11.0%","21.5%",".088",".289",".231",".331",".319",".295","","82","-0.6","-8.5","-6.8","-0.3","12950","595943"
"Raul Gonzalez","- - -","168","385","5","41","33","7","8.8%","16.9%",".098",".271",".233",".301",".330",".283","","69","1.8","-13.6","-2.4","-0.3","1553","279912"
"Russ Davis","SFG","133","381","16","43","41","1","6.8%","20.5%",".196",".289",".259",".314",".455",".328","","96","-1.2","-3.1","-12.6","-0.3","1003076","113137"
"Ronny Rodriguez","DET","146","500","19","46","63","5","4.6%","24.8%",".176",".254",".221",".254",".396",".272","","66","0.8","-20.1","-0.7","-0.3","11875","500135"
"Damon Hollins","- - -","248","747","28","84","84","11","5.6%","17.5%",".179",".261",".242",".285",".422",".304","","83","-0.3","-16.7","-12.4","-0.3","1919","132360"
"Tim Redding","- - -","181","262","0","8","10","0","2.7%","35.9%",".022",".237",".138",".164",".160",".148","","-20","-0.1","-40.0","27.9","-0.4","573","400062"
"Tim Laker","- - -","117","358","7","35","45","2","6.1%","22.1%",".107",".278",".227",".277",".334",".269","","60","0.6","-17.7","1.8","-0.4","1681","117420"
"Derek Fisher","- - -","172","466","17","63","53","10","10.7%","35.4%",".183",".273",".195",".285",".378",".286","","78","0.3","-12.1","-7.3","-0.4","16192","605233"
"Hunter Dozier","KCR","595","2315","73","258","235","19","8.3%","26.8%",".182",".301",".238",".305",".420",".311","","93","-13.4","-31.2","-51.4","-0.4","15117","641531"
"Willians Astudillo","- - -","190","588","16","63","70","1","1.9%","4.8%",".128",".256",".267",".291",".396",".294","","84","-5.9","-17.8","-6.4","-0.4","15608","553902"
"Clay Bellinger","- - -","151","298","11","45","33","6","7.0%","24.2%",".180",".215",".192",".264",".372",".276","","60","0.4","-15.5","1.2","-0.4","1436","150083"
"Jason Hammel","- - -","384","390","1","21","21","0","1.8%","34.4%",".032",".243",".151",".168",".183",".156","","-19","-0.1","-55.8","40.2","-0.4","4538","434628"
"Nick Williams","- - -","294","916","31","109","110","4","6.2%","27.8%",".164",".323",".251",".312",".415",".313","","93","-1.4","-10.5","-22.9","-0.4","14330","608384"
"Aaron Nola","PHI","236","318","0","15","12","0","6.6%","49.7%",".022",".211",".089",".156",".111",".131","","-28","-0.1","-51.2","37.6","-0.4","16149","605400"
"Jamie Moyer","- - -","351","308","0","14","11","0","6.5%","32.5%",".012",".196",".116",".186",".128",".155","","-20","-0.1","-46.6","33.0","-0.4","1091","119469"
"Xavier Paul","- - -","349","767","12","83","71","23","7.8%","22.0%",".118",".313",".250",".311",".368",".299","","86","-0.9","-13.3","-13.2","-0.4","5963","449082"
"Tommy Joseph","PHI","249","880","43","98","116","2","6.3%","23.2%",".214",".274",".247",".297",".460",".320","","95","-6.4","-11.9","-20.9","-0.4","10349","571830"
"Angel Sanchez","- - -","185","630","1","67","54","3","6.0%","14.8%",".053",".301",".254",".303",".307",".275","","68","1.0","-22.9","0.0","-0.4","3492","447816"
"Luis Alicea","- - -","346","1310","11","157","118","11","8.7%","12.6%",".095",".309",".274",".342",".369",".318","","81","-2.7","-33.8","-14.8","-0.4","584","110136"
"Dave Bush","- - -","221","301","0","18","13","0","3.0%","31.9%",".027",".204",".129",".164",".156",".149","","-21","-0.1","-46.2","32.7","-0.4","4635","433657"
"Miguel Vargas","LAD","99","354","8","40","40","4","11.3%","20.9%",".158",".221",".191",".290",".350",".282","","77","0.9","-8.9","-6.7","-0.4","20178","678246"
"Wladimir Balentien","- - -","170","559","15","54","52","2","7.9%","26.7%",".153",".279",".221",".281",".374",".287","","72","-0.8","-20.3","-2.8","-0.4","3131","434605"
"Joshua Fuentes","COL","149","443","12","52","57","2","3.4%","25.7%",".134",".302",".243",".269",".377",".275","","55","3.6","-21.8","2.7","-0.4","16885","658069"
"Joe Thurston","- - -","184","384","1","34","27","5","9.1%","17.4%",".098",".276",".226",".305",".323",".279","","67","-1.7","-17.4","1.2","-0.4","673","407871"
"Richard Urena","TOR","91","263","2","20","14","3","5.7%","31.6%",".083",".378",".253",".300",".336",".279","","72","-0.5","-9.7","-3.6","-0.4","16411","620446"
"Ryan Christenson","- - -","229","414","7","62","38","4","9.7%","22.2%",".108",".244",".197",".284",".306",".269","","53","0.9","-23.4","5.0","-0.4","1594","134342"
"Chris Widger","- - -","242","765","18","69","74","1","7.7%","18.0%",".145",".264",".233",".296",".377",".294","","70","-5.9","-35.3","5.7","-0.4","1541","124234"
"Matt Cain","SFG","349","708","7","27","34","0","3.0%","43.5%",".059",".225",".121",".151",".180",".149","","-16","-0.2","-100.8","74.4","-0.4","4732","430912"
"Matt Thaiss","LAA","188","585","20","62","63","3","11.8%","28.7%",".146",".267",".209",".309",".356",".293","","83","-2.9","-15.3","-9.1","-0.4","19318","642136"
"Kevin Millwood","- - -","375","387","3","17","20","0","3.1%","41.3%",".063",".225",".123",".154",".187",".154","","-16","0.0","-58.7","41.4","-0.4","106","119154"
"Carlos Asuaje","SDP","175","586","6","45","42","1","9.0%","21.5%",".088",".304",".240",".312",".329",".284","","75","-2.1","-20.0","-3.1","-0.4","15197","641319"
"Luis Matos","SFG","76","253","2","24","14","3","7.9%","13.0%",".092",".285",".250",".319",".342",".295","","87","-0.9","-5.1","-7.8","-0.4","26467","682641"
"Dean Palmer","DET","232","961","40","110","148","8","10.7%","24.8%",".190",".270",".232",".318",".421",".322","","91","0.2","-10.0","-26.7","-0.4","482","120194"
"Reggie Abercrombie","- - -","180","421","9","65","34","18","5.0%","29.2%",".132",".301",".223",".274",".355",".275","","61","3.1","-18.4","-0.2","-0.4","2187","430631"
"Anderson Hernandez","- - -","240","703","4","69","60","10","7.8%","15.2%",".073",".283",".241",".300",".314",".277","","64","0.9","-30.2","3.3","-0.4","3366","435038"
"Bobby Bradley","CLE","97","345","17","41","45","0","8.4%","37.1%",".215",".267",".199",".278",".414",".296","","87","-2.5","-7.7","-8.5","-0.4","17278","656252"
"Oscar Robles","- - -","163","471","5","50","36","0","8.1%","8.9%",".087",".279",".260",".323",".348",".300","","80","-4.0","-16.4","-3.6","-0.4","8975","425854"
"Andy Parrino","- - -","131","288","2","19","14","2","11.5%","28.8%",".069",".250",".175",".280",".244",".233","","48","0.6","-16.7","3.7","-0.4","3972","519107"
"Freddie Bynum","- - -","188","377","6","54","32","18","4.2%","28.6%",".145",".321",".234",".275",".379",".284","","64","1.0","-15.8","-1.5","-0.4","2099","425503"
"Cory Sullivan","- - -","476","1272","10","156","97","32","7.4%","19.9%",".110",".336",".271",".327",".381",".311","","77","1.5","-35.7","-10.4","-0.5","1940","430622"
"Tomo Ohka","- - -","183","276","0","8","15","1","3.6%","34.4%",".008",".228",".138",".172",".146",".149","","-22","0.2","-42.9","29.3","-0.5","788","219594"
"Pat Borders","- - -","98","250","2","23","19","3","2.4%","20.4%",".081",".272",".220",".245",".301",".238","","41","-0.6","-18.8","5.8","-0.5","1068","111232"
"Anthony DeSclafani","- - -","183","283","1","7","12","0","3.2%","50.9%",".023",".248",".113",".142",".136",".127","","-31","-0.1","-46.2","32.5","-0.5","13050","543101"
"Carlos Perez","- - -","280","859","17","64","78","4","5.5%","19.2%",".109",".252",".218",".265",".327",".260","","62","-2.3","-41.3","7.8","-0.5","10642","542208"
"Paul Janish","- - -","473","1305","7","123","87","7","7.4%","14.3%",".072",".245",".212",".280",".284",".256","","52","0.8","-73.8","29.2","-0.5","7412","457926"
"Jonah Bride","OAK","98","293","1","26","13","1","10.2%","18.4%",".040",".237",".192",".296",".232",".250","","62","-3.5","-16.4","2.2","-0.5","24703","681146"
"Matt Beaty","- - -","290","675","18","93","96","7","7.0%","16.7%",".147",".277",".247",".323",".394",".312","","95","-2.2","-6.3","-20.5","-0.5","17710","607461"
"Brandon Dixon","- - -","235","658","22","66","74","6","4.4%","33.3%",".172",".305",".224",".266",".397",".280","","72","0.7","-21.9","-5.6","-0.5","15214","641525"
"Moises Sierra","- - -","207","509","9","51","41","6","6.3%","26.7%",".128",".308",".235",".287",".362",".286","","77","-2.0","-15.8","-5.4","-0.5","6050","501213"
"Wilin Rosario","COL","447","1601","71","204","241","11","4.6%","22.1%",".200",".311",".273",".306",".473",".334","","94","-6.4","-16.6","-36.6","-0.5","8002","501647"
"Meibrys Viloria","- - -","103","280","3","22","24","0","8.9%","32.5%",".081",".291",".198",".270",".279",".245","","49","-0.5","-18.3","2.9","-0.5","17109","650619"
"John Lackey","- - -","450","265","0","6","8","1","3.4%","36.6%",".030",".187",".110",".143",".140",".129","","-27","-0.3","-42.1","28.7","-0.5","1507","407793"
"Kris Benson","- - -","177","311","1","16","15","0","3.9%","33.1%",".027",".204",".125",".170",".152",".152","","-21","0.0","-49.1","33.6","-0.5","982","150249"
"JT Riddle","- - -","252","797","19","72","80","1","4.9%","21.7%",".132",".263",".223",".261",".354",".263","","64","-3.9","-40.9","8.7","-0.5","17642","595375"
"Brett Myers","- - -","383","557","0","22","12","0","4.5%","28.9%",".023",".203",".134",".177",".157",".157","","-16","-0.2","-81.5","58.4","-0.5","962","408206"
"Tim Lincecum","- - -","281","579","0","26","19","0","5.9%","42.1%",".017",".229",".112",".171",".129",".145","","-18","-0.3","-81.9","59.4","-0.5","5705","453311"
"Ronald Guzman","- - -","246","832","31","91","104","3","8.8%","29.2%",".186",".287",".225",".302",".410",".306","","83","-3.1","-20.9","-13.4","-0.5","14388","608597"
"Kelvin Gutierrez","- - -","121","419","4","29","34","2","7.4%","27.2%",".081",".313",".228",".292",".309",".267","","64","-1.9","-20.2","0.9","-0.5","17468","642721"
"Kyle Lohse","- - -","472","600","0","23","31","0","1.5%","27.2%",".018",".223",".153",".173",".171",".156","","-14","-0.7","-82.7","59.3","-0.5","739","346798"
"Marquis Grissom","- - -","730","2850","96","348","366","47","4.9%","16.0%",".161",".283",".262",".299",".424",".311","","86","0.3","-54.4","-45.6","-0.5","652","115174"
"Henry Rodriguez","- - -","137","443","20","48","64","1","9.0%","25.5%",".210",".282",".241",".314",".451",".328","","91","-0.6","-5.7","-13.6","-0.5","1427","121357"
"Arismendy Alcantara","- - -","167","459","11","51","39","14","5.2%","32.7%",".126",".260",".189",".235",".315",".244","","49","3.8","-24.4","4.5","-0.5","10711","570489"
"John Lannan","- - -","153","284","1","8","11","0","5.6%","39.1%",".032",".185",".105",".160",".138",".142","","-24","-0.1","-42.8","28.9","-0.5","7080","458709"
"Curt Schilling","- - -","243","337","0","17","8","0","2.7%","27.9%",".014",".226",".154",".179",".167",".159","","-19","-0.5","-52.3","36.1","-0.5","73","121811"
"Billy McKinney","- - -","311","915","34","106","86","4","9.1%","26.2%",".181",".249",".209",".284",".390",".289","","81","-3.1","-24.9","-11.4","-0.5","15654","641856"
"John Mabry","- - -","691","1599","55","167","213","2","8.3%","23.2%",".172",".283",".240",".307",".412",".311","","86","-7.0","-37.1","-22.3","-0.5","1381","118065"
"Odalis Perez","- - -","226","357","1","24","9","0","1.7%","21.0%",".042",".171",".132",".151",".174",".146","","-21","0.0","-54.9","37.9","-0.5","668","136602"
"Vicente Padilla","- - -","353","301","0","13","17","0","5.3%","43.2%",".024",".221",".108",".170",".131",".147","","-22","-0.1","-46.5","31.4","-0.5","964","218894"
"J.P. Arencibia","- - -","467","1687","80","169","245","2","5.0%","28.7%",".200",".248",".212",".258",".412",".290","","78","-4.4","-46.2","-14.2","-0.5","697","450317"
"Austin Dean","- - -","126","365","11","40","42","1","7.1%","22.5%",".162",".267",".228",".286",".390",".289","","81","1.5","-7.4","-10.0","-0.6","18288","621573"
"A.J. Burnett","- - -","429","558","4","19","19","0","3.6%","41.4%",".055",".207",".113",".152",".168",".146","","-19","-0.1","-80.6","58.1","-0.6","512","150359"
"Matt Harvey","- - -","181","275","1","8","14","0","1.5%","39.3%",".039",".178",".106",".120",".145",".117","","-33","-0.1","-43.9","30.0","-0.6","11713","518774"
