"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid","mlbamid"
"Chad Pinder","OAK","553","1740","62","204","197","5","5.9%","27.3%",".175",".303",".242",".294",".417",".305","","95","-6.3","-15.9","-19.4","2.4","15191","640461"
"Akil Baddoo","DET","309","1043","26","130","98","41","10.6%","26.4%",".145",".302",".233",".314",".378",".303","","92","9.0","-0.6","-10.3","2.4","22168","668731"
"Woody Williams","- - -","243","529","4","48","37","1","2.8%","30.6%",".076",".281",".194",".223",".270",".218","","26","0.1","-50.2","57.7","2.4","1190","124315"
"Gabriel Moreno","- - -","136","453","8","43","57","6","7.3%","18.3%",".112",".340",".290",".342",".402",".325","","104","-8.0","-5.7","14.2","2.4","22664","672515"
"Jeff Baker","- - -","748","1958","54","244","235","14","7.1%","24.1%",".167",".327",".264",".318",".432",".326","","95","-7.4","-18.8","-18.8","2.4","2073","425557"
"Maikel Franco","- - -","923","3573","130","364","467","5","6.2%","15.9%",".170",".257",".244",".293",".414",".299","","85","-16.7","-85.5","-10.6","2.4","12179","596748"
"Miguel Andujar","- - -","298","1120","39","130","149","9","4.3%","16.5%",".179",".293",".270",".302",".449",".320","","102","1.2","4.2","-19.6","2.3","15878","609280"
"Mike Lamb","- - -","975","2989","69","382","349","7","7.6%","13.7%",".139",".300",".276",".332",".415",".323","","90","2.9","-35.8","-40.5","2.3","1258","150286"
"Luis Guillorme","NYM","335","823","5","76","48","4","11.1%","15.9%",".072",".312",".261",".344",".333",".303","","95","-6.3","-11.2","7.3","2.3","16451","641645"
"Mitch Meluskey","- - -","137","446","14","51","72","1","13.9%","17.7%",".172",".330",".290",".393",".461",".369","","113","0.3","8.3","2.3","2.3","478","136581"
"Scott Brosius","NYY","255","997","29","114","113","3","7.9%","15.6%",".151",".281",".257",".320",".409",".318","","89","-1.2","-16.2","4.7","2.3","1001477","111515"
"Jason Lane","- - -","500","1366","61","165","189","10","9.0%","18.9%",".216",".255",".241",".314",".457",".331","","98","1.2","-3.2","-18.4","2.3","1397","407835"
"Fernando Tatis","- - -","590","2009","60","225","254","13","9.4%","20.7%",".169",".295",".252",".334",".421",".331","","97","-6.5","-14.2","-26.1","2.3","798","123107"
"Mark Teahen","- - -","831","3171","67","388","332","45","8.2%","21.4%",".145",".324",".264",".327",".409",".322","","92","4.5","-26.7","-57.4","2.3","4511","433597"
"Kyle Lewis","- - -","146","580","26","70","59","7","10.5%","30.5%",".179",".303",".235",".317",".414",".317","","104","1.4","4.9","-1.6","2.3","19508","641786"
"Todd Hundley","- - -","282","973","54","106","147","0","11.3%","25.8%",".233",".254",".229",".320",".462",".334","","101","-5.1","-2.8","-3.7","2.3","284","116316"
"Elijah Dukes","- - -","240","970","31","113","123","18","13.3%","20.3%",".180",".279",".242",".349",".421",".341","","105","-2.0","4.6","-13.0","2.3","4946","452668"
"Royce Clayton","- - -","1044","3920","54","459","338","70","7.0%","17.6%",".109",".302",".256",".311",".365",".298","","72","-1.2","-143.9","34.2","2.3","226","112381"
"Luke Raley","- - -","173","550","22","68","57","14","6.7%","32.2%",".202",".316",".233",".319",".436",".327","","112","4.0","12.0","-7.7","2.3","19354","670042"
"Orlando Palmeiro","- - -","883","1867","11","204","167","25","9.6%","8.8%",".084",".293",".272",".347",".355",".314","","87","0.8","-30.3","-10.0","2.3","28","120190"
"John Mayberry","- - -","574","1519","56","172","180","15","7.8%","23.1%",".185",".274",".235",".299",".421",".314","","96","0.5","-6.3","-18.6","2.3","3390","460055"
"Chris Gimenez","- - -","391","1067","24","118","89","5","10.8%","24.5%",".126",".275",".218",".307",".344",".291","","79","-4.3","-30.9","16.5","2.2","7324","460269"
"Lou Merloni","- - -","341","977","12","110","97","8","7.5%","18.1%",".121",".325",".272",".334",".393",".319","","91","-5.4","-16.8","6.1","2.2","201","134265"
"Greg Allen","- - -","304","828","11","109","68","48","5.7%","23.4%",".109",".297",".231",".300",".340",".282","","74","9.7","-16.8","10.0","2.2","16623","656185"
"Miguel Cairo","- - -","1195","3264","33","382","310","98","5.9%","11.6%",".101",".284",".259",".312",".360",".297","","77","14.5","-80.3","-6.2","2.2","1412","111867"
"Ben Gamel","- - -","685","2221","40","261","200","21","10.1%","24.6%",".131",".328",".252",".332",".384",".313","","96","3.8","-8.4","-44.9","2.2","12160","592325"
"Kevin Plawecki","- - -","449","1426","22","119","137","2","8.3%","19.5%",".106",".283",".235",".313",".341",".288","","80","-11.6","-45.3","21.2","2.2","13807","608700"
"Dave Hansen","- - -","546","832","18","79","101","3","15.0%","17.8%",".131",".292",".251",".363",".382",".328","","100","-2.3","-1.3","-3.3","2.2","1403","115436"
"Esteban German","- - -","409","1170","8","159","111","34","10.0%","16.0%",".106",".333",".280",".359",".386",".333","","99","1.4","-0.2","-18.0","2.2","1449","407397"
"Kyle Isbel","KCR","225","674","11","93","69","18","5.9%","23.3%",".138",".291",".232",".281",".370",".283","","75","4.4","-14.7","13.9","2.2","21614","664728"
"Jose Caballero","SEA","104","280","4","37","26","26","10.0%","23.6%",".100",".285",".221",".343",".320",".305","","96","5.2","4.0","8.3","2.2","23401","676609"
"Jose Lobaton","- - -","419","1291","21","110","107","0","9.5%","23.1%",".103",".267",".213",".291",".316",".272","","69","-8.6","-56.9","34.8","2.2","4243","446653"
"Keibert Ruiz","- - -","279","1099","29","99","119","7","6.1%","10.9%",".134",".267",".258",".311",".392",".307","","93","-9.1","-18.2","1.4","2.1","19610","660688"
"Jose Tabata","PIT","509","1765","17","208","126","47","7.3%","14.4%",".102",".317",".275",".336",".377",".318","","101","-7.8","-6.2","-26.7","2.1","2411","467798"
"Ben Francisco","- - -","563","1771","50","199","190","30","8.2%","18.4%",".165",".287",".253",".323",".418",".326","","99","0.4","-1.8","-34.8","2.1","4677","450204"
"Aristides Aquino","CIN","244","762","41","87","108","12","8.7%","33.5%",".223",".264",".211",".285",".434",".305","","85","3.5","-9.9","5.3","2.1","15482","606157"
"Albert Almora Jr.","- - -","600","1605","33","189","163","7","5.4%","18.1%",".124",".299",".259",".300",".383",".293","","80","-8.5","-48.8","16.8","2.1","14109","546991"
"Keith Ginter","- - -","325","1118","38","120","140","9","9.4%","20.6%",".179",".277",".243",".329",".422",".328","","96","0.7","-4.7","-10.8","2.1","1500","348562"
"Tom Prince","- - -","193","560","15","52","61","6","7.9%","18.4%",".145",".253",".224",".304",".369",".299","","76","-1.1","-18.4","20.6","2.1","747","120771"
"Adam Rosales","- - -","653","1807","48","186","179","17","7.5%","25.0%",".139",".280",".226",".291",".365",".288","","77","5.7","-44.8","5.4","2.1","9682","489267"
"Paul O'Neill","NYY","279","1191","39","156","170","36","8.3%","12.5%",".165",".285",".275",".333",".441",".334","","99","1.8","0.4","-20.4","2.1","1009818","120028"
"Travis Wood","- - -","330","327","11","28","37","1","2.1%","35.2%",".144",".256",".185",".208",".329",".234","","41","0.1","-22.6","32.3","2.1","9884","475243"
"Clayton Kershaw","LAD","434","847","1","46","40","1","4.0%","24.9%",".023",".230",".162",".205",".185",".180","","6","-0.2","-97.3","90.5","2.1","2036","477132"
