"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","EV","BsR","Off","Def","WAR","playerid"
"Hyun Soo Kim","- - -","191","585","7","56","36","1","9.9%","16.6%",".095",".322",".273",".351",".368",".318","96","89.8","0.4","-2.7","-19.0","-0.1","18718"
"Lyle Overbay","- - -","603","1960","49","197","218","7","9.9%","21.6%",".149",".288",".240",".316",".389",".311","93","","-7.4","-23.3","-41.3","-0.2","1617"
"Brian Schneider","Phillies","122","384","8","37","31","0","9.1%","19.5%",".115",".249",".212",".295",".327",".279","70","","-4.8","-18.4","5.3","-0.2","795"
"Carlos Asuaje","Padres","175","586","6","45","42","1","9.0%","21.5%",".088",".304",".240",".312",".329",".284","75","85.5","-2.1","-20.1","-0.3","-0.2","15197"
"Juan Rivera","- - -","365","1315","35","129","173","8","7.1%","12.9%",".137",".264",".252",".308",".389",".306","92","","-9.7","-22.9","-21.6","-0.2","843"
"Kila Ka'aihue","- - -","114","441","14","41","45","1","10.4%","21.1%",".162",".249",".218",".301",".379",".301","86","","-1.7","-9.1","-7.7","-0.2","4707"
"Jeff Samardzija","- - -","326","388","2","15","21","0","1.8%","39.2%",".058",".211",".125",".143",".183",".143","-19","85.9","-0.1","-56.4","42.4","-0.2","3254"
"Omar Quintanilla","- - -","186","603","6","58","42","2","9.3%","20.9%",".079",".275",".221",".296",".299",".264","66","","-0.6","-24.2","4.0","-0.2","6335"
"Tommy Joseph","Phillies","249","880","43","98","116","2","6.3%","23.2%",".214",".274",".247",".297",".460",".320","95","89.4","-6.4","-11.9","-18.4","-0.2","10349"
"Michael McKenry","- - -","311","953","29","94","103","2","9.8%","24.7%",".168",".294",".238",".318",".406",".318","95","90.0","-5.3","-10.9","-20.0","-0.2","9628"
"Jason Hammel","- - -","277","329","1","20","20","0","1.5%","33.1%",".031",".246",".156",".170",".188",".159","-16","84.5","-0.1","-45.5","33.6","-0.2","4538"
"Matt Tolbert","Twins","135","326","1","30","29","4","6.1%","15.0%",".092",".243",".207",".265",".299",".253","52","","1.5","-16.6","3.8","-0.2","7365"
"Christian Arroyo","- - -","85","305","9","29","35","1","7.5%","25.2%",".140",".269",".219",".283",".360",".278","73","88.2","-1.3","-12.1","0.2","-0.2","16434"
"Matt Cain","Giants","211","415","3","17","23","0","2.4%","42.7%",".044",".231",".125",".150",".169",".144","-15","79.2","-0.2","-57.0","42.3","-0.2","4732"
